Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                ,Exchange,Description              ,Sub-Industry                      ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High   ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow , 
HRTG  ,-10.42     ,12.72     ,654629    ,7.46     ,426.21M   ,71             ,+1.60                     ,20.00     ,14.34     ,-0.26,-92.86      ,12.43                  ,-16.14            ,18.85                  ,14.62                  ,Insurance                               ,NYSE    ,HERITAGE INSURANCE HOLDIN,Property & Casualty Insurance     ,0.24    ,14.14         ,12.71 ,500     ,152811       ,169038      ,428.39                  ,387.27                 ,No        ,14.20 ,14.20  ,12.73 ,60.17                 ,144316        ,137479     ,453.61                   ,476.17                ,No                ,Financials            ,1.70          ,14.14     ,12.51 ,1600    ,149214      ,254.93                    ,438.72                 ,2.17M          ,No                  ,B  ,--       ,--                 ,50.00          ,50.00                 ,--              ,--                     ,--              ,4                 ,1.50              ,92.51M    ,394.79M,92.51M  ,30.14M            ,1.89    ,3.05      ,1.82      ,1.06        ,2.36      ,-2.09     ,--        ,--                          ,23.43   ,1598.35           ,-1.42  ,-2.27                  ,-3.30                      ,-0.14                  ,-4.61                   ,-33.28               ,0.00                 ,+13.63               ,+1.27     ,14.27        ,15.45    ,2.28                   ,13.90     ,11.25    ,87.57                   ,14.77                        ,-10.04  ,+0.06,-3.07                  ,-0.12                 ,-0.60                  ,-0.99                    ,-9.38                ,0.00                 ,+2.68                ,+16.05            ,0               ,15.07     ,16.18   ,14.02       ,13.90   ,-1.26                ,1.48           ,-1.48    ,+0.42,+0.22                   ,-0.48                    ,-4.10                    ,-0.68                 ,-5.50                ,0.00                 ,+8.47                ,+5.97             ,15.45      ,16.48     ,13.90    ,13.42  ,1.69         ,16.00            ,-0.21         ,0.32              ,--                   ,4.64                     ,1.21            ,--           ,13.38                ,1.08     ,14.42     ,14.76     ,14.31      ,14.43     ,14.52      ,36.46                ,42.04     ,42.93                   ,7.14 ,15.74               ,-0.85                     ,-2.77          ,14.94     ,13.75      ,14.60     ,14.62     ,14.49      ,36.23     ,47.94                ,55.07         ,12.92,-0.07      ,-2.54          ,-1.52                     ,14.62     ,14.52      ,14.62     ,45.24                ,12.44                   ,12.34   ,13.50                  ,-2.24          ,-1.05                     ,-438.42    , 
JNUG  ,-9.78      ,7.29      ,72585269  ,--       ,1.23B     ,142            ,+12.77                    ,48.36     ,7.25      ,-0.84,-63.33      ,42.03                  ,0.71              ,31.18                  ,7.99                   ,--                                      ,NYSE    ,DIREXION DLY JR GOLD MNRS,--                                ,--      ,7.61          ,7.28  ,3200    ,93044368     ,41689518    ,78.01                   ,174.11                 ,No        ,8.08  ,8.09   ,7.29  ,100.00                ,71712803      ,62602191   ,101.22                   ,115.95                ,No                ,--                    ,--            ,7.61      ,6.71  ,6900    ,69123848    ,52.88                     ,105.01                 ,611.01M        ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,162.22M           ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--      ,--                ,-0.32  ,+0.14                  ,-4.71                      ,-2.7982                ,-13.98                  ,-15.67               ,0.00                 ,-27.21               ,-0.23     ,7.80         ,12.39    ,25.20                  ,5.20      ,3.77     ,57.97                   ,-5.80                        ,-4.20   ,+0.47,+1.59                  ,+0.36                 ,-0.91                  ,-26.88                   ,+36.38               ,-96.00               ,+17.34               ,0.00              ,1               ,7.80      ,13.03   ,5.71        ,5.20    ,-2.94                ,0.80           ,-0.79    ,+6.18,+0.862                  ,-0.3765                  ,-10.68                   ,-1.2364               ,-21.88               ,0.00                 ,-50.85               ,0.00              ,12.39      ,33.29     ,5.30     ,5.20   ,1.38         ,21.00            ,-0.58         ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,6.27      ,8.86      ,9.30       ,7.58      ,9.63       ,50.41                ,46.87     ,23.99                   ,36.67,12.51               ,-4.25                     ,3.07           ,8.22      ,14.65      ,6.87      ,8.40      ,10.09      ,46.81     ,47.27                ,13.06         ,27.27,-0.82      ,-1.06          ,3.19                      ,7.99      ,8.46       ,8.61      ,47.53                ,18.45                   ,22.62   ,3.46                   ,-4.38          ,-1.58                     ,8720.04    , 
YRD   ,-8.92      ,25.63     ,1868976   ,13.06    ,1.71B     ,91             ,+4.63                     ,44.88     ,27.05     ,1.25 ,-71.46      ,1.81                   ,0.84              ,30.93                  ,26.40                  ,Internet Software & Services            ,NYSE    ,YIRENDAI LTD -ADR        ,Internet Software & Services      ,--      ,29.29         ,25.59 ,100     ,718538       ,621469      ,260.11                  ,300.74                 ,No        ,28.14 ,30.50  ,25.63 ,9.73                  ,587707        ,509727     ,318.01                   ,366.66                ,No                ,Information Technology,--            ,29.29     ,25.54 ,200     ,589791      ,255.99                    ,316.89                 ,20.41M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,43.83M    ,209.09M,43.83M  ,58.5M             ,2.24    ,0.87      ,-0.09     ,2.24        ,-0.17     ,--        ,--        ,--                          ,20.96   ,343.89            ,-3.66  ,+1.57                  ,+10.95                     ,+4.15                  ,+23.23                  ,0.00                 ,0.00                 ,+64.14               ,0.00      ,29.50        ,31.64    ,11.84                  ,23.23     ,5.63     ,98.19                   ,5.18                         ,-12.50  ,-1.15,+3.97                  ,-0.08                 ,+3.23                  ,+16.50                   ,+41.36               ,0.00                 ,-16.11               ,+79.29            ,71              ,31.64     ,31.64   ,28.06       ,22.66   ,-19.91               ,4.87           ,-2.51    ,-3.93,+1.30                   ,+2.89                    ,+12.41                   ,+5.52                 ,+255.47              ,0.00                 ,-1.20                ,+33.65            ,31.64      ,42.34     ,27.61    ,19.85  ,4.96         ,43.00            ,-0.09         ,0.56              ,--                   ,33.63                    ,11.37           ,--           ,13.10                ,8.19     ,28.21     ,23.85     ,25.55      ,26.57     ,--         ,66.78                ,--        ,20.78                   ,28.54,30.54               ,5.42                      ,0.16           ,23.56     ,23.78      ,26.96     ,25.20     ,--         ,51.13     ,50.00                ,8.04          ,55.01,1.27       ,4.71           ,2.51                      ,26.40     ,25.45      ,25.06     ,59.57                ,24.42                   ,60.29   ,22.26                  ,1.98           ,7.53                      ,82.88      , 
EXK   ,-8.40      ,3.27      ,2541434   ,--       ,432.62M   ,38             ,+5.96                     ,41.88     ,3.48      ,-0.32,-77.34      ,3.23                   ,-18.83            ,37.87                  ,3.79                   ,Metals & Mining                         ,NYSE    ,ENDEAVOUR SILVER CORP    ,Silver                            ,--      ,3.43          ,3.27  ,7500    ,3098654      ,2563715     ,82.02                   ,99.13                  ,No        ,3.57  ,3.57   ,3.28  ,35.15                 ,2970400       ,2466431    ,85.56                    ,103.04                ,No                ,Materials             ,--            ,3.43      ,3.26  ,2500    ,2846365     ,73.87                     ,89.29                  ,9.87M          ,No                  ,NC ,--       ,--                 ,22.22          ,11.11                 ,44.44           ,11.11                  ,11.11           ,9                 ,2.78              ,3.91M     ,156.77M,3.91M   ,127.08M           ,0.03    ,0.03      ,-1.47     ,0.10        ,-0.74     ,-0.90     ,0.42      ,--                          ,2.49    ,103.82            ,-0.16  ,-0.86                  ,-9.46                      ,-0.7912                ,-16.13                  ,+85.71               ,-68.64               ,+40.00               ,-0.01     ,3.47         ,4.84     ,2.38                   ,2.84      ,2.10     ,96.77                   ,6.13                         ,-4.66   ,+0.14,-0.35                  ,+0.15                 ,-0.5059                ,-18.74                   ,-2.56                ,-39.06               ,+14.21               ,+4.25             ,0               ,3.47      ,4.90    ,3.00        ,2.84    ,-1.16                ,0.30           ,-0.30    ,+4.08,+0.193                  ,-0.3583                  ,-12.85                   ,-0.6598               ,+14.29               ,-45.83               ,+0.46                ,+2.65             ,4.84       ,5.95      ,2.84     ,2.84   ,0.31         ,10.00            ,-0.01         ,4.86              ,--                   ,114.33                   ,3.28            ,--           ,35.36                ,2.78     ,3.13      ,4.08      ,4.10       ,3.60      ,4.03       ,45.22                ,45.36     ,27.82                   ,22.66,5.27                ,-1.31                     ,-0.05          ,3.97      ,4.30       ,3.47      ,3.90      ,4.03       ,43.34     ,46.23                ,24.89         ,20.55,-0.28      ,-0.77          ,0.07                      ,3.79      ,4.01       ,3.94      ,44.69                ,16.73                   ,19.24   ,2.31                   ,-1.40          ,-0.76                     ,-8961.65   , 
NUGT  ,-8.39      ,8.95      ,38900321  ,--       ,1.80B     ,110            ,+10.02                    ,47.98     ,8.92      ,-0.72,-65.21      ,--                     ,-12.34            ,30.16                  ,9.49                   ,--                                      ,NYSE    ,DIREXION DLY GOLD MINERS ,--                                ,--      ,9.29          ,8.95  ,30500   ,44356111     ,44634093    ,87.70                   ,87.15                  ,No        ,9.77  ,9.86   ,8.96  ,100.00                ,44707713      ,51324551   ,87.01                    ,75.79                 ,No                ,--                    ,--            ,9.28      ,8.95  ,4800    ,44670987    ,65.99                     ,87.08                  ,365.64M        ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,193.64M           ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--      ,--                ,-0.33  ,+0.01                  ,-2.23                      ,-2.4908                ,-10.22                  ,-54.07               ,-99.61               ,-35.13               ,-0.06     ,9.36         ,13.04    ,25.94                  ,7.40      ,5.51     ,100.00                  ,-3.42                        ,-3.56   ,+0.49,+1.09                  ,+0.21                 ,-0.6405                ,-21.16                   ,+21.60               ,-91.61               ,+19.55               ,0.00              ,11              ,9.36      ,13.70   ,7.60        ,7.40    ,-3.44                ,0.91           ,-0.82    ,+5.28,+0.845                  ,-0.2113                  ,-6.46                    ,-1.0562               ,-39.22               ,-98.49               ,-46.71               ,0.00              ,13.04      ,35.80     ,7.40     ,7.40   ,0.91         ,62.00            ,0.00          ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,8.16      ,10.34     ,10.79      ,9.21      ,11.23      ,50.92                ,46.36     ,24.78                   ,34.79,12.93               ,-3.18                     ,3.06           ,9.77      ,16.64      ,8.64      ,9.93      ,11.76      ,46.33     ,46.84                ,10.25         ,26.35,-0.70      ,-1.06          ,3.35                      ,9.49      ,9.96       ,10.14     ,47.27                ,20.17                   ,19.78   ,6.05                   ,-3.48          ,-1.19                     ,-80912.81  , 
FSM   ,-5.90      ,5.42      ,924664    ,--       ,814.26M   ,45             ,+4.21                     ,47.91     ,5.42      ,-0.26,-55.38      ,2.78                   ,-6.96             ,25.07                  ,5.58                   ,Metals & Mining                         ,NYSE    ,FORTUNA SILVER MINES INC ,Silver                            ,--      ,5.54          ,5.41  ,3700    ,2051010      ,1670269     ,45.08                   ,55.36                  ,No        ,5.76  ,5.77   ,5.42  ,55.48                 ,1929593       ,1901149    ,47.92                    ,48.64                 ,No                ,Materials             ,--            ,5.54      ,5.41  ,1700    ,1877868     ,25.53                     ,49.24                  ,10.86M         ,No                  ,NC ,--       ,--                 ,16.67          ,50.00                 ,33.33           ,--                     ,--              ,6                 ,2.17              ,-10.61M   ,154.73M,-10.61M ,146.98M           ,-0.04   ,-0.08     ,0.12      ,0.17        ,-0.15     ,0.25      ,0.16      ,--                          ,-6.86   ,225.55            ,-0.12  ,-0.06                  ,-0.73                      ,-0.8935                ,-9.17                   ,+44.97               ,-20.03               ,+1.26                ,+0.16     ,5.60         ,6.66     ,3.98                   ,4.84      ,3.50     ,97.22                   ,-1.96                        ,-2.17   ,+0.22,-0.31                  ,+0.11                 ,-0.165                 ,-13.89                   ,-1.95                ,+23.57               ,-7.08                ,-1.25             ,1               ,5.60      ,6.92    ,4.99        ,4.84    ,-1.91                ,0.35           ,-0.34    ,+3.97,+0.224                  ,-0.041                   ,-2.89                    ,-0.5594               ,+25.67               ,+23.28               ,-24.40               ,-0.91             ,6.55       ,9.75      ,4.84     ,4.84   ,0.36         ,16.00            ,-0.01         ,-5.72             ,--                   ,--                       ,2.72            ,15.37        ,33.37                ,5.26     ,5.16      ,6.09      ,6.25       ,5.52      ,6.15       ,50.67                ,46.53     ,22.39                   ,44.62,6.68                ,-0.91                     ,0.24           ,5.98      ,6.89       ,5.31      ,5.87      ,6.20       ,45.77     ,47.06                ,4.59          ,33.20,-0.28      ,-1.08          ,0.26                      ,5.58      ,6.16       ,5.94      ,46.66                ,20.43                   ,27.63   ,4.48                   ,-0.96          ,-1.28                     ,-1902.49   , 
BGS   ,-5.51      ,39.12     ,2097790   ,24.31    ,2.80B     ,56             ,+1.77                     ,22.49     ,42.19     ,-1.09,-94.95      ,10.55                  ,-32.03            ,33.48                  ,43.27                  ,Food Products                           ,NYSE    ,B&G FOODS INC            ,Packaged Foods & Meats            ,1.86    ,42.05         ,39.10 ,1500    ,440667       ,615017      ,476.05                  ,341.09                 ,No        ,41.40 ,41.40  ,39.15 ,88.16                 ,686350        ,548702     ,305.64                   ,382.32                ,No                ,Consumer Staples      ,4.40          ,42.05     ,38.85 ,300     ,665065      ,367.18                    ,315.43                 ,18.42M         ,Yes                 ,F  ,--       ,A-                 ,--             ,9.09                  ,90.91           ,--                     ,--              ,11                ,2.91              ,109.42M   ,1.39B  ,109.42M ,66.47M            ,1.73    ,1.73      ,1.22      ,2.20        ,0.76      ,0.98      ,1.20      ,7.00                        ,7.87    ,537.16            ,-2.93  ,-3.63                  ,-2.83                      ,-2.78                  ,-4.76                   ,+64.45               ,+127.47              ,+1.68                ,+0.02     ,42.20        ,47.75    ,11.44                  ,40.95     ,31.81    ,89.45                   ,7.33                         ,-6.97   ,-0.65,-4.63                  ,-0.06                 ,-1.86                  ,-6.20                    ,-4.00                ,+58.62               ,+0.36                ,+17.60            ,0               ,42.25     ,47.75   ,41.35       ,40.95   ,-7.04                ,2.28           ,-2.28    ,-1.55,+0.73                   ,-1.22                    ,-4.24                    ,-2.10                 ,+28.07               ,+62.43               ,-8.76                ,+3.92             ,47.75      ,52.84     ,41.00    ,40.95  ,2.55         ,15.00            ,-0.27         ,1.03              ,--                   ,24.31                    ,--              ,218.32       ,19.10                ,2.01     ,41.56     ,44.07     ,44.51      ,42.61     ,44.09      ,39.10                ,40.75     ,40.20                   ,5.05 ,48.05               ,-4.35                     ,-4.75          ,44.05     ,45.62      ,41.99     ,43.61     ,44.12      ,35.83     ,45.65                ,54.81         ,13.92,-0.80      ,-6.50          ,-1.35                     ,43.27     ,43.68      ,43.76     ,43.38                ,11.73                   ,14.36   ,38.50                  ,-7.75          ,-3.30                     ,-3481.27   , 
CLF   ,-5.25      ,9.3799    ,14592183  ,11.15    ,2.88B     ,89             ,+5.66                     ,43.51     ,9.66      ,-0.26,-71.87      ,55.73                  ,-19.89            ,23.33                  ,10.17                  ,Metals & Mining                         ,NYSE    ,CLIFFS NATURAL RESOURCES ,Steel                             ,--      ,9.71          ,9.37  ,7600    ,16070387     ,15607946    ,90.80                   ,93.49                  ,No        ,9.90  ,9.92   ,9.38  ,46.98                 ,19046270      ,20553463   ,76.61                    ,71.00                 ,No                ,Materials             ,--            ,9.71      ,8.70  ,6000    ,22015716    ,73.38                     ,66.28                  ,146.91M        ,No                  ,C  ,*****    ,C                  ,12.50          ,12.50                 ,62.50           ,12.50                  ,--              ,8                 ,2.75              ,199.30M   ,2.11B  ,199.30M ,296.39M           ,0.87    ,0.87      ,-5.13     ,1.39        ,-47.52    ,2.08      ,-6.32     ,2.00                        ,8.26    ,721.52            ,-0.3301,-1.7101                ,-4.50                      ,+1.5892                ,-0.19                   ,+60.07               ,-84.80               ,+149.07              ,+1.83     ,9.77         ,12.37    ,2.45                   ,8.64      ,2.13     ,44.27                   ,3.99                         ,-3.40   ,+0.19,+0.7899                ,+0.05                 ,-0.7336                ,+19.57                   ,+15.46               ,-49.74               ,+21.00               ,-9.54             ,1               ,9.77      ,12.37   ,8.97        ,8.64    ,-6.57                ,0.5401         ,-0.5201  ,+1.96,+0.52                   ,-0.458                   ,-7.02                    ,-0.0186               ,+252.42              ,-62.57               ,+87.02               ,+9.82             ,12.22      ,12.37     ,8.64     ,8.27   ,1.22         ,12.00            ,-0.6799       ,0.47              ,--                   ,11.15                    ,--              ,-166.37      ,6.97                 ,1.36     ,9.34      ,9.74      ,8.39       ,9.77      ,8.94       ,48.49                ,51.47     ,27.52                   ,28.13,12.10               ,-2.32                     ,0.19           ,9.60      ,7.49       ,9.75      ,9.66      ,8.64       ,49.09     ,52.64                ,23.11         ,26.94,-0.12      ,-0.05          ,-0.04                     ,10.17     ,8.91       ,9.53      ,50.87                ,17.19                   ,19.03   ,8.23                   ,-2.45          ,0.55                      ,-47879.80  , 
HMY   ,-5.18      ,2.38      ,5418126   ,5.72     ,958.60M   ,21             ,+6.80                     ,49.04     ,2.37      ,-0.08,-51.52      ,6.45                   ,-12.86            ,24.26                  ,2.45                   ,Metals & Mining                         ,NYSE    ,HARMONY GOLD MINING CO LT,Gold                              ,0.07    ,2.48          ,2.37  ,20100   ,6046811      ,5384572     ,89.60                   ,100.62                 ,No        ,2.51  ,2.525  ,2.38  ,87.82                 ,6180524       ,5698355    ,87.66                    ,95.08                 ,No                ,Materials             ,3.00          ,2.48      ,2.37  ,39900   ,6141399     ,62.89                     ,88.22                  ,13.83M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,50.00           ,50.00                  ,--              ,2                 ,3.50              ,65.58M    ,1.27B  ,65.58M  ,439.79M           ,0.43    ,0.15      ,-0.72     ,--          ,-0.20     ,-0.38     ,0.42      ,42.70                       ,0.36    ,46.58             ,-0.10  ,-0.04                  ,+1.04                      ,-0.2587                ,-1.55                   ,+24.71               ,-80.94               ,-17.48               ,-1.78     ,2.52         ,2.99     ,2.345                  ,2.06      ,1.86     ,93.55                   ,-1.37                        ,-4.03   ,+0.03,+0.13                  ,+0.14                 ,-0.0209                ,-9.45                    ,+13.95               ,-32.15               ,+9.65                ,+9.44             ,3               ,2.52      ,2.99    ,2.21        ,2.06    ,-0.51                ,0.145          ,-0.13    ,+1.21,+0.158                  ,+0.0255                  ,-0.84                    ,-0.039                ,-33.96               ,-64.40               ,-28.46               ,+7.10             ,2.99       ,4.87      ,2.06     ,2.06   ,0.155        ,71.00            ,-0.01         ,0.24              ,--                   ,16.85                    ,0.59            ,7.24         ,--                   ,0.86     ,2.26      ,2.52      ,2.64       ,2.40      ,2.63       ,54.09                ,47.36     ,20.38                   ,48.48,2.93                ,-0.29                     ,0.49           ,2.45      ,3.17       ,2.35      ,2.48      ,2.68       ,47.70     ,48.38                ,1.48          ,42.04,-0.08      ,-0.09          ,0.56                      ,2.45      ,2.52       ,2.51      ,49.47                ,19.78                   ,34.63   ,1.98                   ,-0.47          ,-0.08                     ,-11008.12  , 
MUX   ,-5.14      ,3.32      ,3736299   ,48.57    ,1.01B     ,30             ,+5.95                     ,48.61     ,3.31      ,-0.18,-50.51      ,13.33                  ,-19.03            ,32.03                  ,3.43                   ,Metals & Mining                         ,NYSE    ,MCEWEN MINING INC        ,Gold                              ,0.01    ,3.40          ,3.32  ,23700   ,5413564      ,4404705     ,69.02                   ,84.83                  ,No        ,3.50  ,3.515  ,3.33  ,34.33                 ,5042001       ,4466910    ,74.10                    ,83.64                 ,No                ,Materials             ,0.30          ,3.40      ,3.29  ,2300    ,4880428     ,64.30                     ,76.56                  ,16.97M         ,No                  ,NC ,--       ,C                  ,100.00         ,--                    ,--              ,--                     ,--              ,1                 ,1.00              ,21.06M    ,60.39M ,21.06M  ,299.57M           ,0.07    ,0.07      ,-0.07     ,--          ,-1.05     ,-0.50     ,-0.26     ,--                          ,34.87   ,206.10            ,-0.08  ,-0.05                  ,-0.95                      ,-0.0322                ,-8.62                   ,+229.88              ,-35.27               ,+54.18               ,-0.41     ,3.48         ,4.30     ,1.405                  ,2.84      ,1.72     ,86.67                   ,-2.62                        ,-2.35   ,+0.10,+0.35                  ,+0.17                 ,-0.1418                ,-0.94                    ,+16.99               ,+5.11                ,+21.36               ,+4.89             ,1               ,3.48      ,4.43    ,2.98        ,2.84    ,-1.57                ,0.195          ,-0.18    ,+2.94,+0.191                  ,-0.0328                  ,-4.00                    ,-0.3206               ,+53.37               ,+17.46               ,+0.13                ,+4.33             ,4.26       ,4.92      ,2.84     ,2.84   ,0.225        ,60.00            ,-0.03         ,2.07              ,--                   ,48.57                    ,2.30            ,--           ,--                   ,16.87    ,3.13      ,3.72      ,3.39       ,3.38      ,3.49       ,50.88                ,48.70     ,20.90                   ,49.49,4.24                ,-0.84                     ,0.58           ,3.58      ,3.59       ,3.23      ,3.52      ,3.46       ,47.51     ,49.28                ,5.74          ,36.75,-0.18      ,-0.50          ,0.60                      ,3.43      ,3.37       ,3.52      ,48.42                ,18.63                   ,29.93   ,2.62                   ,-0.84          ,-0.54                     ,-13597.83  , 
JAG   ,-4.74      ,12.05     ,949638    ,--       ,2.66B     ,36             ,+0.92                     ,--        ,--        ,--   ,-87.73      ,29.82                  ,-15.51            ,--                     ,13.29                  ,Oil Gas & Consumable Fuels              ,NYSE    ,JAGGED PEAK ENERGY INC   ,Oil & Gas Exploration & Production,--      ,12.49         ,12.05 ,300     ,724650       ,1309591     ,131.05                  ,72.51                  ,No        ,12.65 ,12.85  ,12.06 ,0.19                  ,733587        ,1309591    ,129.45                   ,72.51                 ,No                ,Energy                ,--            ,12.49     ,11.71 ,200     ,732664      ,136.04                    ,129.61                 ,9.04M          ,No                  ,NC ,--       ,--                 ,40.00          ,40.00                 ,20.00           ,--                     ,--              ,10                ,1.80              ,-7.48M    ,33.81M ,-7.48M  ,212.94M           ,--      ,--        ,--        ,-0.02       ,--        ,--        ,--        ,115.00                      ,-22.13  ,--                ,-0.44  ,-1.74                  ,-6.03                      ,-1.32                  ,-9.55                   ,0.00                 ,0.00                 ,0.00                 ,0.00      ,12.54        ,14.49    ,2.23                   ,11.85     ,12.87    ,70.18                   ,8.92                         ,-3.52   ,+0.16,-2.05                  ,-0.04                 ,-0.93                  ,-9.55                    ,0.00                 ,0.00                 ,0.00                 ,0.00              ,6               ,13.35     ,15.08   ,11.85       ,11.85   ,1.16                 ,0.80           ,-0.60    ,+1.28,+0.11                   ,-0.80                    ,-6.94                    ,-1.32                 ,0.00                 ,0.00                 ,0.00                 ,0.00              ,14.48      ,15.08     ,11.85    ,11.85  ,1.14         ,--               ,-0.34         ,--                ,--                   ,--                       ,--              ,7.03         ,--                   ,78.66    ,12.80     ,--        ,--         ,--        ,--         ,50.00                ,--        ,--                      ,12.27,14.54               ,-1.43                     ,--             ,--        ,--         ,13.13     ,--        ,--         ,--        ,--                   ,--            ,15.56,--         ,--             ,--                        ,13.29     ,--         ,--        ,50.00                ,--                      ,16.13   ,12.04                  ,-1.53          ,--                        ,-1510.24   , 
TAHO  ,-4.70      ,7.519     ,2155729   ,18.93    ,2.40B     ,54             ,+3.55                     ,38.69     ,7.89      ,-0.41,-75.88      ,8.48                   ,-9.81             ,24.58                  ,8.14                   ,Metals & Mining                         ,NYSE    ,TAHOE RESOURCES INC      ,Gold                              ,0.24    ,7.70          ,7.51  ,2600    ,3814213      ,2482397     ,56.52                   ,86.84                  ,No        ,7.89  ,7.9399 ,7.52  ,68.36                 ,3074538       ,2868327    ,70.12                    ,75.16                 ,No                ,Materials             ,3.10          ,7.70      ,7.48  ,3500    ,2989443     ,59.33                     ,72.11                  ,28.58M         ,No                  ,D  ,--       ,--                 ,31.25          ,50.00                 ,18.75           ,--                     ,--              ,16                ,1.88              ,117.88M   ,784.50M,117.88M ,311.74M           ,0.41    ,0.41      ,-0.35     ,0.41        ,0.61      ,-0.45     ,-0.65     ,5.00                        ,15.03   ,278.19            ,-0.181 ,-0.721                 ,-5.39                      ,-2.602                 ,-12.89                  ,-33.93               ,-65.44               ,-27.89               ,+0.59     ,7.76         ,9.24     ,9.0701                 ,7.11      ,7.66     ,91.52                   ,5.22                         ,-2.35   ,+0.19,-1.981                 ,-0.05                 ,-0.5886                ,-25.26                   ,-17.90               ,-65.94               ,-11.02               ,+5.57             ,6               ,8.01      ,11.43   ,7.11        ,7.11    ,0.18                 ,0.4209         ,-0.371   ,+2.47,+0.264                  ,-0.439                   ,-7.10                    ,-1.1398               ,-26.74               ,-52.95               ,-34.29               ,+4.65             ,9.21       ,17.01     ,7.11     ,7.11   ,0.4599       ,4.00             ,-0.039        ,0.80              ,--                   ,18.93                    ,0.98            ,1.64         ,18.84                ,3.06     ,7.69      ,8.79      ,9.89       ,8.05      ,9.53       ,41.77                ,41.84     ,26.42                   ,24.12,9.22                ,-1.41                     ,-1.23          ,8.84      ,11.75      ,7.91      ,8.67      ,9.80       ,40.48     ,42.46                ,22.97         ,19.50,-0.36      ,-1.71          ,-1.04                     ,8.14      ,9.45       ,8.85      ,41.52                ,16.55                   ,13.31   ,7.06                   ,-1.38          ,-1.47                     ,-4635.32   , 
