Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                          ,Exchange,Description              ,Sub-Industry                      ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High   ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin  ,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
TELL  ,-12.85     ,11.05     ,1050369   ,--       ,2.55B     ,96             ,+10.62                    ,38.83     ,13.10     ,-0.52,-88.96      ,2.79                   ,-28.04            ,26.05                  ,14.42                  ,Oil Gas & Consumable Fuels        ,NASDAQ  ,TELLURIAN INC            ,Oil & Gas Refining & Marketing    ,--      ,12.81         ,11.02 ,100     ,2107284      ,356633      ,49.84                   ,294.52                 ,No        ,12.68 ,12.79  ,11.06 ,--                    ,1269344       ,684853     ,82.75                    ,153.37                ,No                ,Energy                ,--            ,12.81     ,11.00 ,200     ,1192764     ,72.79                     ,88.06                  ,24.02M         ,No                  ,NC ,--       ,C                  ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,100.00K   ,1.69M  ,100.00K ,199.38M           ,-0.64   ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,6.23      ,--                ,-1.76  ,-6.95                  ,-11.17                     ,+4.12                  ,-3.21                   ,0.00                 ,0.00                 ,0.00                 ,0.00      ,13.07        ,21.74    ,8.95                   ,9.69      ,0.80     ,97.21                   ,31.30                        ,-13.74  ,-0.13,-0.45                  ,+0.12                 ,-1.42                  ,+47.46                   ,0.00                 ,0.00                 ,0.00                 ,0.00              ,2               ,13.07     ,21.74   ,11.83       ,9.69    ,-10.20               ,1.74           ,-1.63    ,-1.01,+1.23                   ,-1.61                    ,-9.96                    ,-0.43                 ,0.00                 ,0.00                 ,0.00                 ,0.00              ,21.74      ,21.74     ,9.69     ,9.69   ,1.79         ,--               ,-0.05         ,-0.85             ,--                   ,--                       ,--              ,--           ,--                   ,1514.89  ,12.56     ,13.23     ,9.06       ,13.32     ,10.59      ,46.12                ,50.59     ,26.91                   ,11.04,20.60               ,1.30                      ,4.33           ,12.62     ,6.66       ,14.51     ,12.62     ,9.91       ,47.53     ,53.42                ,1.20          ,19.36,0.07       ,-2.13          ,6.36                      ,14.42     ,9.75       ,12.19     ,51.12                ,27.56                   ,18.28   ,8.24                   ,-1.47          ,-3.12                     ,-6218.74  , 
JNUG  ,-9.52      ,7.3108    ,72520481  ,--       ,1.23B     ,142            ,+12.70                    ,48.49     ,7.25      ,-0.84,-62.97      ,43.54                  ,0.89              ,31.18                  ,7.99                   ,--                                ,NYSE    ,DIREXION DLY JR GOLD MNRS,--                                ,--      ,7.61          ,7.31  ,1600    ,93044368     ,41689518    ,77.94                   ,173.95                 ,No        ,8.08  ,8.09   ,7.32  ,100.00                ,71712803      ,62602191   ,101.13                   ,115.84                ,No                ,--                    ,--            ,7.61      ,6.71  ,5300    ,69123848    ,52.83                     ,104.91                 ,611.01M        ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,162.22M           ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--        ,--                ,-0.2992,+0.1608                ,-4.73                      ,-2.7982                ,-13.98                  ,-15.67               ,0.00                 ,-27.21               ,-0.23     ,7.80         ,12.39    ,25.20                  ,5.20      ,3.77     ,56.46                   ,-6.05                        ,-3.93   ,+0.47,+1.6108                ,+0.36                 ,-0.91                  ,-26.88                   ,+36.38               ,-96.00               ,+17.34               ,0.00              ,1               ,7.80      ,13.03   ,5.71        ,5.20    ,-2.94                ,0.7792         ,-0.7692  ,+6.18,+0.8578                 ,-0.3775                  ,-10.68                   ,-1.2364               ,-21.88               ,0.00                 ,-50.85               ,0.00              ,12.39      ,33.29     ,5.30     ,5.20   ,1.38         ,21.00            ,-0.6008       ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,6.27      ,8.86      ,9.30       ,7.58      ,9.63       ,50.41                ,46.90     ,23.99                   ,37.03,12.51               ,-4.25                     ,3.09           ,8.22      ,14.65      ,6.87      ,8.40      ,10.09      ,46.85     ,47.27                ,13.06         ,27.40,-0.82      ,-1.04          ,3.19                      ,7.99      ,8.46       ,8.61      ,47.53                ,18.45                   ,22.66   ,3.47                   ,-4.36          ,-1.58                     ,10916.48  , 
YRD   ,-8.67      ,25.70     ,1853178   ,13.06    ,1.71B     ,82             ,+4.58                     ,45.16     ,27.05     ,1.25 ,-70.63      ,0.41                   ,0.45              ,31.03                  ,26.40                  ,Internet Software & Services      ,NYSE    ,YIRENDAI LTD -ADR        ,Internet Software & Services      ,--      ,29.29         ,25.70 ,200     ,718538       ,621469      ,257.91                  ,298.19                 ,No        ,28.14 ,30.50  ,25.75 ,9.73                  ,587707        ,509727     ,315.32                   ,363.56                ,No                ,Information Technology,--            ,29.29     ,25.68 ,400     ,589791      ,253.82                    ,314.21                 ,20.41M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,43.83M    ,209.09M,43.83M  ,58.5M             ,2.24    ,0.87      ,-0.09     ,2.24        ,-0.17     ,--        ,--        ,--                          ,20.96     ,343.89            ,-3.59  ,+1.64                  ,+10.94                     ,+4.15                  ,+23.23                  ,0.00                 ,0.00                 ,+64.14               ,0.00      ,29.50        ,31.64    ,11.84                  ,23.23     ,5.63     ,99.59                   ,4.92                         ,-12.26  ,-1.15,+4.04                  ,-0.08                 ,+3.23                  ,+16.50                   ,+41.36               ,0.00                 ,-16.11               ,+79.29            ,71              ,31.64     ,31.64   ,28.06       ,22.66   ,-20.05               ,4.80           ,-2.44    ,-3.93,+1.28                   ,+2.89                    ,+12.41                   ,+5.52                 ,+255.47              ,0.00                 ,-1.20                ,+33.65            ,31.64      ,42.34     ,27.61    ,19.85  ,4.82         ,43.00            ,-0.02         ,0.56              ,--                   ,33.63                    ,11.37           ,--           ,13.10                ,8.19     ,28.22     ,23.86     ,25.55      ,26.58     ,--         ,66.78                ,--        ,20.33                   ,29.37,30.54               ,5.42                      ,0.23           ,23.56     ,23.78      ,26.96     ,25.20     ,--         ,51.26     ,50.00                ,9.43          ,55.29,1.28       ,4.78           ,2.51                      ,26.40     ,25.46      ,25.06     ,59.57                ,24.56                   ,60.38   ,22.26                  ,2.05           ,7.53                      ,44.48     , 
NUGT  ,-7.96      ,8.9925    ,38720888  ,--       ,1.80B     ,108            ,+9.91                     ,48.32     ,8.93      ,-0.72,-64.32      ,2.53                   ,-12.05            ,30.16                  ,9.49                   ,--                                ,NYSE    ,DIREXION DLY GOLD MINERS ,--                                ,--      ,9.29          ,8.99  ,33900   ,44356111     ,44634093    ,87.30                   ,86.75                  ,No        ,9.77  ,9.86   ,9.00  ,100.00                ,44707713      ,51324551   ,86.61                    ,75.44                 ,No                ,--                    ,--            ,9.28      ,8.97  ,7300    ,44670987    ,65.68                     ,86.68                  ,365.64M        ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,193.64M           ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--        ,--                ,-0.2875,+0.0525                ,-2.25                      ,-2.4908                ,-10.22                  ,-54.07               ,-99.61               ,-35.13               ,-0.06     ,9.36         ,13.04    ,25.94                  ,7.40      ,5.51     ,97.47                   ,-3.84                        ,-3.10   ,+0.49,+1.1325                ,+0.21                 ,-0.6405                ,-21.16                   ,+21.60               ,-91.61               ,+19.55               ,0.00              ,11              ,9.36      ,13.70   ,7.60        ,7.40    ,-3.46                ,0.8675         ,-0.7775  ,+5.28,+0.8371                 ,-0.2132                  ,-6.46                    ,-1.0562               ,-39.22               ,-98.49               ,-46.71               ,0.00              ,13.04      ,35.80     ,7.40     ,7.40   ,0.89         ,62.00            ,-0.0225       ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,8.16      ,10.34     ,10.79      ,9.21      ,11.23      ,50.92                ,46.42     ,24.81                   ,35.68,12.94               ,-3.18                     ,3.09           ,9.77      ,16.64      ,8.65      ,9.93      ,11.76      ,46.44     ,46.84                ,10.25         ,26.65,-0.70      ,-1.02          ,3.35                      ,9.49      ,9.96       ,10.14     ,47.27                ,20.20                   ,19.88   ,6.05                   ,-3.44          ,-1.19                     ,-79023.36 , 
INO   ,-6.79      ,6.105     ,1902224   ,--       ,508.80M   ,55             ,+4.20                     ,33.08     ,6.68      ,-0.06,-95.34      ,8.46                   ,-14.58            ,12.45                  ,6.79                   ,Biotechnology                     ,NASDAQ  ,INOVIO PHARMACEUTICALS IN,Biotechnology                     ,--      ,6.87          ,6.10  ,900     ,589919       ,955891      ,322.46                  ,199.00                 ,No        ,6.55  ,6.70   ,6.11  ,28.51                 ,713894        ,750529     ,266.46                   ,253.45                ,No                ,Health Care           ,--            ,6.87      ,6.05  ,600     ,746913      ,245.20                    ,254.68                 ,3.95M          ,No                  ,D  ,--       ,C                  ,40.00          ,40.00                 ,20.00           ,--                     ,--              ,5                 ,1.80              ,-29.10M   ,40.57M ,-29.10M ,74.06M            ,-0.90   ,-0.44     ,-0.64     ,-0.96       ,-1.43     ,-0.58     ,-0.48     ,--                          ,-71.94    ,258.42            ,-0.765 ,-1.045                 ,+1.20                      ,-0.62                  ,+1.92                   ,-5.78                ,+165.08              ,-37.72               ,+2.99     ,6.88         ,7.23     ,4.99                   ,6.50      ,5.85     ,91.54                   ,10.84                        ,-11.14  ,-0.32,-0.865                 ,-0.08                 ,+0.0364                ,-8.28                    ,-1.01                ,-52.56               ,-0.42                ,-38.50            ,3               ,6.88      ,7.45    ,6.60        ,6.46    ,-0.20                ,0.595          ,-0.445   ,-4.66,+0.277                  ,+0.0818                  ,+0.53                    ,+0.1292               ,-0.30                ,+209.26              ,-23.12               ,-30.78            ,7.23       ,11.69     ,6.50     ,5.85   ,0.65         ,19.00            ,-0.055        ,-0.32             ,--                   ,--                       ,3.07            ,--           ,--                   ,12.54    ,6.67      ,6.72      ,7.29       ,6.70      ,7.14       ,54.68                ,43.92     ,29.57                   ,4.66 ,7.25                ,0.01                      ,-0.82          ,6.77      ,8.18       ,6.77      ,6.80      ,7.27       ,42.31     ,48.19                ,26.66         ,23.47,--         ,-0.64          ,-0.07                     ,6.79      ,6.93       ,6.86      ,49.87                ,17.12                   ,25.63   ,6.33                   ,-0.91          ,0.17                      ,-1587.08  , 
FSM   ,-5.90      ,5.42      ,923964    ,--       ,814.26M   ,45             ,+4.21                     ,47.91     ,5.42      ,-0.26,-55.38      ,2.78                   ,-6.96             ,25.07                  ,5.58                   ,Metals & Mining                   ,NYSE    ,FORTUNA SILVER MINES INC ,Silver                            ,--      ,5.54          ,5.42  ,2800    ,2051010      ,1670269     ,45.05                   ,55.32                  ,No        ,5.76  ,5.77   ,5.43  ,55.48                 ,1929593       ,1901149    ,47.88                    ,48.60                 ,No                ,Materials             ,--            ,5.54      ,5.41  ,5500    ,1877868     ,25.51                     ,49.20                  ,10.86M         ,No                  ,NC ,--       ,--                 ,16.67          ,50.00                 ,33.33           ,--                     ,--              ,6                 ,2.17              ,-10.61M   ,154.73M,-10.61M ,146.98M           ,-0.04   ,-0.08     ,0.12      ,0.17        ,-0.15     ,0.25      ,0.16      ,--                          ,-6.86     ,225.55            ,-0.12  ,-0.06                  ,-0.73                      ,-0.8935                ,-9.17                   ,+44.97               ,-20.03               ,+1.26                ,+0.16     ,5.60         ,6.66     ,3.98                   ,4.84      ,3.50     ,97.22                   ,-1.96                        ,-2.17   ,+0.22,-0.31                  ,+0.11                 ,-0.165                 ,-13.89                   ,-1.95                ,+23.57               ,-7.08                ,-1.25             ,1               ,5.60      ,6.92    ,4.99        ,4.84    ,-1.91                ,0.35           ,-0.34    ,+3.97,+0.224                  ,-0.041                   ,-2.89                    ,-0.5594               ,+25.67               ,+23.28               ,-24.40               ,-0.91             ,6.55       ,9.75      ,4.84     ,4.84   ,0.36         ,16.00            ,-0.01         ,-5.72             ,--                   ,--                       ,2.72            ,15.37        ,33.37                ,5.26     ,5.16      ,6.09      ,6.25       ,5.52      ,6.15       ,50.67                ,46.53     ,22.39                   ,44.62,6.68                ,-0.91                     ,0.24           ,5.98      ,6.89       ,5.31      ,5.87      ,6.20       ,45.77     ,47.06                ,4.59          ,33.20,-0.28      ,-1.08          ,0.26                      ,5.58      ,6.16       ,5.94      ,46.66                ,20.43                   ,27.63   ,4.48                   ,-0.96          ,-1.28                     ,-1901.83  , 
BGS   ,-5.56      ,39.10     ,2091476   ,24.31    ,2.80B     ,56             ,+1.77                     ,22.49     ,42.19     ,-1.09,-94.95      ,9.80                   ,-32.03            ,33.48                  ,43.27                  ,Food Products                     ,NYSE    ,B&G FOODS INC            ,Packaged Foods & Meats            ,1.86    ,42.05         ,39.10 ,1400    ,440667       ,615017      ,474.62                  ,340.07                 ,No        ,41.40 ,41.40  ,39.15 ,88.16                 ,686350        ,548702     ,304.72                   ,381.17                ,No                ,Consumer Staples      ,4.40          ,42.05     ,38.85 ,300     ,665065      ,366.08                    ,314.48                 ,18.42M         ,Yes                 ,F  ,--       ,A-                 ,--             ,9.09                  ,90.91           ,--                     ,--              ,11                ,2.91              ,109.42M   ,1.39B  ,109.42M ,66.47M            ,1.73    ,1.73      ,1.22      ,2.20        ,0.76      ,0.98      ,1.20      ,7.00                        ,7.87      ,537.16            ,-2.95  ,-3.65                  ,-2.83                      ,-2.78                  ,-4.76                   ,+64.45               ,+127.47              ,+1.68                ,+0.02     ,42.20        ,47.75    ,11.44                  ,40.95     ,31.81    ,90.20                   ,7.38                         ,-7.02   ,-0.65,-4.65                  ,-0.06                 ,-1.86                  ,-6.20                    ,-4.00                ,+58.62               ,+0.36                ,+17.60            ,0               ,42.25     ,47.75   ,41.35       ,40.95   ,-7.04                ,2.30           ,-2.30    ,-1.55,+0.73                   ,-1.22                    ,-4.24                    ,-2.10                 ,+28.07               ,+62.43               ,-8.76                ,+3.92             ,47.75      ,52.84     ,41.00    ,40.95  ,2.55         ,15.00            ,-0.25         ,1.03              ,--                   ,24.31                    ,--              ,218.32       ,19.10                ,2.01     ,41.56     ,44.07     ,44.51      ,42.61     ,44.09      ,39.10                ,40.75     ,40.20                   ,5.05 ,48.05               ,-4.35                     ,-4.75          ,44.05     ,45.62      ,41.99     ,43.61     ,44.12      ,35.83     ,45.65                ,54.81         ,13.92,-0.80      ,-6.50          ,-1.35                     ,43.27     ,43.68      ,43.76     ,43.38                ,11.73                   ,14.36   ,38.50                  ,-7.75          ,-3.30                     ,-3480.88  , 
HMY   ,-5.38      ,2.375     ,5414526   ,5.72     ,958.60M   ,21             ,+6.85                     ,48.82     ,2.37      ,-0.08,-52.27      ,3.23                   ,-13.26            ,24.26                  ,2.45                   ,Metals & Mining                   ,NYSE    ,HARMONY GOLD MINING CO LT,Gold                              ,0.07    ,2.48          ,2.37  ,7900    ,6046811      ,5384572     ,89.54                   ,100.56                 ,No        ,2.51  ,2.525  ,2.38  ,87.82                 ,6180524       ,5698355    ,87.61                    ,95.02                 ,No                ,Materials             ,3.00          ,2.48      ,2.37  ,44100   ,6141399     ,62.84                     ,88.16                  ,13.83M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,50.00           ,50.00                  ,--              ,2                 ,3.50              ,65.58M    ,1.27B  ,65.58M  ,439.79M           ,0.43    ,0.15      ,-0.72     ,--          ,-0.20     ,-0.38     ,0.42      ,42.70                       ,0.36      ,46.58             ,-0.105 ,-0.045                 ,+1.05                      ,-0.2587                ,-1.55                   ,+24.71               ,-80.94               ,-17.48               ,-1.78     ,2.52         ,2.99     ,2.345                  ,2.06      ,1.86     ,96.77                   ,-1.18                        ,-4.23   ,+0.03,+0.125                 ,+0.14                 ,-0.0209                ,-9.45                    ,+13.95               ,-32.15               ,+9.65                ,+9.44             ,3               ,2.52      ,2.99    ,2.21        ,2.06    ,-0.51                ,0.15           ,-0.135   ,+1.21,+0.159                  ,+0.0258                  ,-0.84                    ,-0.039                ,-33.96               ,-64.40               ,-28.46               ,+7.10             ,2.99       ,4.87      ,2.06     ,2.06   ,0.155        ,71.00            ,-0.005        ,0.24              ,--                   ,16.85                    ,0.59            ,7.24         ,--                   ,0.86     ,2.26      ,2.52      ,2.64       ,2.40      ,2.63       ,54.09                ,47.31     ,20.38                   ,47.73,2.93                ,-0.29                     ,0.49           ,2.45      ,3.17       ,2.35      ,2.48      ,2.68       ,47.62     ,48.38                ,1.48          ,41.79,-0.08      ,-0.10          ,0.56                      ,2.45      ,2.52       ,2.51      ,49.47                ,19.78                   ,34.54   ,1.98                   ,-0.48          ,-0.08                     ,-11354.31 , 
ERI   ,-5.30      ,18.75     ,260885    ,37.88    ,928.26M   ,26             ,+4.41                     ,63.05     ,18.04     ,0.78 ,-27.85      ,4.35                   ,34.35             ,33.62                  ,17.48                  ,Hotels Restaurants & Leisure      ,NASDAQ  ,ELDORADO RESORTS INC     ,Casinos & Gaming                  ,--      ,19.70         ,18.70 ,800     ,838779       ,434121      ,31.10                   ,60.09                  ,No        ,19.80 ,19.85  ,18.75 ,41.17                 ,523804        ,398943     ,49.81                    ,65.39                 ,No                ,Consumer Discretionary,--            ,19.70     ,18.70 ,800     ,501401      ,12.82                     ,52.03                  ,15.90M         ,No                  ,NR ,--       ,C                  ,100.00         ,--                    ,--              ,--                     ,--              ,2                 ,1.00              ,24.80M    ,892.90M,24.80M  ,47.12M            ,0.52    ,0.52      ,2.43      ,0.95        ,-0.48     ,0.81      ,-0.04     ,5.00                        ,2.78      ,120.66            ,-0.95  ,+2.30                  ,+12.70                     ,+4.71                  ,+19.40                  ,+225.23              ,0.00                 ,+9.40                ,+1.03     ,19.80        ,19.80    ,-1.30                  ,15.90     ,10.42    ,95.65                   ,-4.78                        ,-4.82   ,+0.10,+1.65                  ,+0.06                 ,+2.44                  ,+31.44                   ,+16.22               ,0.00                 ,+18.55               ,+8.72             ,1               ,19.80     ,19.80   ,19.14       ,15.77   ,-8.28                ,1.10           ,-1.05    ,+0.51,+0.83                   ,+2.22                    ,+14.15                   ,+3.20                 ,+63.64               ,0.00                 ,+16.76               ,+1.89             ,19.80      ,18.55     ,17.45    ,14.90  ,1.15         ,79.00            ,-0.05         ,1.61              ,--                   ,37.88                    ,--              ,266.67       ,20.74                ,1.04     ,18.44     ,16.53     ,15.11      ,17.75     ,15.90      ,82.45                ,60.42     ,13.08                   ,72.15,19.69               ,3.70                      ,2.30           ,16.55     ,14.86      ,17.85     ,16.77     ,15.65      ,62.25     ,64.87                ,42.28         ,88.29,0.61       ,2.95           ,3.31                      ,17.48     ,15.36      ,16.56     ,69.44                ,32.23                   ,90.52   ,15.27                  ,2.15           ,4.25                      ,3022.51   , 
CLF   ,-5.30      ,9.375     ,14540628  ,11.15    ,2.88B     ,89             ,+5.67                     ,43.45     ,9.66      ,-0.26,-72.05      ,55.33                  ,-19.95            ,23.33                  ,10.17                  ,Metals & Mining                   ,NYSE    ,CLIFFS NATURAL RESOURCES ,Steel                             ,--      ,9.71          ,9.37  ,3700    ,16070387     ,15607946    ,90.48                   ,93.16                  ,No        ,9.90  ,9.92   ,9.38  ,46.98                 ,19046270      ,20553463   ,76.34                    ,70.75                 ,No                ,Materials             ,--            ,9.71      ,8.70  ,7100    ,22015716    ,73.12                     ,66.05                  ,146.91M        ,No                  ,C  ,*****    ,C                  ,12.50          ,12.50                 ,62.50           ,12.50                  ,--              ,8                 ,2.75              ,199.30M   ,2.11B  ,199.30M ,296.39M           ,0.87    ,0.87      ,-5.13     ,1.39        ,-47.52    ,2.08      ,-6.32     ,2.00                        ,8.26      ,721.52            ,-0.335 ,-1.715                 ,-4.50                      ,+1.5892                ,-0.19                   ,+60.07               ,-84.80               ,+149.07              ,+1.83     ,9.77         ,12.37    ,2.45                   ,8.64      ,2.13     ,44.67                   ,4.04                         ,-3.45   ,+0.19,+0.785                 ,+0.05                 ,-0.7336                ,+19.57                   ,+15.46               ,-49.74               ,+21.00               ,-9.54             ,1               ,9.77      ,12.37   ,8.97        ,8.64    ,-6.57                ,0.545          ,-0.525   ,+1.96,+0.521                  ,-0.4578                  ,-7.02                    ,-0.0186               ,+252.42              ,-62.57               ,+87.02               ,+9.82             ,12.22      ,12.37     ,8.64     ,8.27   ,1.22         ,12.00            ,-0.675        ,0.47              ,--                   ,11.15                    ,--              ,-166.37      ,6.97                 ,1.36     ,9.34      ,9.74      ,8.39       ,9.77      ,8.94       ,48.49                ,51.45     ,27.52                   ,27.95,12.10               ,-2.32                     ,0.19           ,9.60      ,7.49       ,9.75      ,9.66      ,8.64       ,49.07     ,52.64                ,23.11         ,26.88,-0.12      ,-0.06          ,-0.04                     ,10.17     ,8.91       ,9.53      ,50.87                ,17.19                   ,19.01   ,8.23                   ,-2.46          ,0.55                      ,-48002.51 , 
ESPR  ,-5.27      ,29.95     ,873950    ,--       ,712.77M   ,92             ,+2.24                     ,57.22     ,29.41     ,3.32 ,-45.73      ,17.85                  ,3.76              ,62.65                  ,28.52                  ,Biotechnology                     ,NASDAQ  ,ESPERION THERAPEUTICS INC,Biotechnology                     ,--      ,31.60         ,29.93 ,200     ,1114893      ,535463      ,78.39                   ,163.21                 ,No        ,31.62 ,32.37  ,29.97 ,58.86                 ,1255835       ,892230     ,69.59                    ,97.95                 ,No                ,Health Care           ,--            ,31.60     ,29.43 ,300     ,1188983     ,103.17                    ,73.50                  ,35.29M         ,No                  ,C  ,--       ,--                 ,20.00          ,20.00                 ,50.00           ,10.00                  ,--              ,10                ,2.50              ,-74.98M   ,--     ,-74.98M ,22.56M            ,-3.33   ,-3.33     ,-2.26     ,-5.91       ,-2.22     ,-3.31     ,-36.31    ,-5.76                       ,--        ,--                ,-1.65  ,+3.09                  ,+10.79                     ,+16.65                 ,+59.81                  ,-54.09               ,0.00                 ,+52.86               ,+2.85     ,32.33        ,35.14    ,2.78                   ,20.47     ,9.40     ,82.15                   ,0.37                         ,-5.21   ,+0.02,+17.15                 ,-0.08                 ,+4.22                  ,+111.33                  ,+152.40              ,+73.07               ,+147.82              ,-29.07            ,11              ,34.29     ,35.14   ,30.42       ,19.94   ,-20.03               ,2.41           ,-1.67    ,+0.06,+0.69                   ,+3.08                    ,+15.43                   ,+11.83                ,+103.80              ,0.00                 ,+142.99              ,-27.73            ,35.14      ,35.14     ,29.35    ,10.71  ,2.94         ,100.00           ,-0.52         ,-0.40             ,--                   ,--                       ,3.12            ,0.45         ,--                   ,--       ,31.49     ,20.12     ,15.42      ,28.18     ,18.58      ,66.56                ,64.70     ,10.46                   ,54.27,35.51               ,10.81                     ,16.96          ,18.91     ,14.26      ,30.06     ,22.57     ,17.90      ,65.47     ,67.52                ,47.66         ,63.07,3.70       ,18.68          ,19.03                     ,28.52     ,15.87      ,21.40     ,69.53                ,29.50                   ,66.69   ,21.53                  ,9.07           ,20.40                     ,642.28    , 
TGTX  ,-5.14      ,13.85     ,4133947   ,--       ,864.88M   ,44             ,+11.07                    ,80.00     ,10.33     ,2.26 ,-12.37      ,38.46                  ,9.86              ,56.92                  ,8.35                   ,Biotechnology                     ,NASDAQ  ,TG THERAPEUTICS INC      ,Biotechnology                     ,--      ,14.45         ,13.85 ,4600    ,6599646      ,1051869     ,62.64                   ,393.01                 ,No        ,14.60 ,15.05  ,13.90 ,28.63                 ,4441845       ,1971644    ,93.07                    ,209.67                ,No                ,Health Care           ,--            ,14.45     ,13.10 ,2100    ,4072396     ,65.11                     ,101.51                 ,82.28M         ,No                  ,D  ,--       ,C                  ,83.33          ,16.67                 ,--              ,--                     ,--              ,6                 ,1.17              ,-78.25M   ,150.00K,-78.25M ,59.85M            ,-1.60   ,-1.60     ,-1.38     ,-1.38       ,-1.64     ,-0.81     ,-1.38     ,--                          ,-51353.45 ,--                ,-0.60  ,+8.15                  ,+73.01                     ,+8.31                  ,+139.96                 ,-28.88               ,+55.90               ,-24.20               ,+1.07     ,14.45        ,14.45    ,-3.45                  ,4.50      ,4.10     ,61.54                   ,-31.53                       ,-4.15   ,+0.15,+9.05                  ,+0.17                 ,+6.81                  ,+135.49                  ,+210.75              ,+72.73               ,-0.87                ,-98.85            ,11              ,14.45     ,14.45   ,13.15       ,4.50    ,-9.00                ,1.20           ,-0.75    ,+1.04,+1.44                   ,+6.10                    ,+89.12                   ,+8.43                 ,+36.69               ,+195.34              ,-10.24               ,0.00              ,14.45      ,11.60     ,10.25    ,4.09   ,1.95         ,100.00           ,-0.75         ,-0.39             ,--                   ,--                       ,14.14           ,--           ,--                   ,5675.75  ,11.34     ,6.21      ,6.09       ,9.47      ,6.53       ,86.65                ,71.03     ,2.10                    ,87.63,15.29               ,9.45                      ,8.85           ,5.96      ,6.25       ,9.48      ,7.26      ,6.49       ,76.11     ,73.52                ,91.17         ,93.19,1.57       ,9.30           ,9.45                      ,8.35      ,5.79       ,6.97      ,79.63                ,45.48                   ,93.14   ,1.42                   ,8.95           ,9.86                      ,8755.06   , 
