Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                              ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap    ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
HIMX  ,-6.16      ,8.69      ,7163151   ,31.46    ,1.54B     ,87             ,+0.54                     ,56.03     ,8.66      ,0.66 ,-49.01      ,14.49                  ,1.47              ,58.00                  ,8.35                   ,Semiconductors & Semiconductor Equipment      ,NGM/NGS ,HIMAX TECHNOLOGIES INC   ,Semiconductors                            ,0.13    ,9.28          ,8.68  ,500     ,4441013      ,4205504     ,161.30                  ,170.33                 ,No        ,9.26  ,9.28  ,8.69  ,25.70                 ,4596727       ,4697015    ,155.83                   ,152.50                ,No                ,Information Technology,1.40          ,9.27      ,8.59  ,4700    ,4523781     ,139.99                    ,158.34                 ,41.30M         ,No                  ,-- ,--       ,--                 ,30.00          ,30.00                 ,40.00           ,--                     ,--              ,10                ,2.10              ,48.75M    ,802.92M,48.75M  ,165.66M           ,0.30    ,0.30      ,0.14      ,0.24        ,0.38      ,0.36      ,0.30      ,25.00                       ,6.34    ,382.34            ,-0.58  ,+1.68                  ,+11.06                     ,+1.9693                ,+38.36                  ,+42.61               ,+409.92              ,-29.79               ,+0.96     ,9.49         ,9.68     ,2.72                   ,7.01      ,4.88     ,85.51                   ,-0.08                        ,-6.26   ,-0.01  ,+2.51                  ,-0.04                 ,+1.1182                ,+26.97                   ,+53.64               ,-23.92               ,-8.01                ,+10.76            ,2               ,9.68      ,9.68    ,8.97        ,6.73    ,-3.71                ,0.59           ,-0.57    ,-0.11 ,+0.05                   ,+0.923                   ,+13.72                   ,+2.5702               ,-7.85                ,+152.39              ,-36.16               ,+6.09             ,9.68       ,12.00     ,8.92     ,4.88   ,0.69         ,99.00            ,-0.10         ,1.35              ,--                   ,31.46                    ,3.66            ,--           ,39.49                ,1.91     ,9.04      ,6.89      ,7.10       ,8.42      ,7.37       ,77.71                ,57.90     ,19.19                   ,50.99,9.89                ,2.11                      ,2.47           ,6.74      ,7.98       ,8.68      ,7.54      ,7.43       ,62.18     ,62.13                ,25.21         ,73.13,0.66       ,3.41           ,3.23                      ,8.35      ,6.86       ,7.43      ,69.78                ,32.12                   ,82.40   ,6.80                   ,1.54           ,4.10                      ,1057.10   , 
AAOI  ,-4.29      ,55.58     ,2192632   ,32.97    ,1.08B     ,228            ,+1.06                     ,59.70     ,53.20     ,4.11 ,-33.95      ,43.75                  ,20.89             ,56.58                  ,52.53                  ,Communications Equipment                      ,NASDAQ  ,APPLIED OPTOELECTRONICS I,Communications Equipment                  ,--      ,58.02         ,55.53 ,100     ,2092759      ,727322      ,104.77                  ,301.47                 ,No        ,58.07 ,58.54 ,55.63 ,66.09                 ,1630769       ,1123262    ,134.45                   ,195.20                ,No                ,Information Technology,--            ,58.02     ,53.28 ,100     ,1593082     ,194.16                    ,137.63                 ,119.89M        ,No                  ,C  ,--       ,--                 ,50.00          ,33.33                 ,16.67           ,--                     ,--              ,6                 ,1.67              ,31.23M    ,260.71M,31.23M  ,18.68M            ,1.76    ,1.76      ,0.65      ,3.39        ,0.28      ,-0.14     ,-3.56     ,17.50                       ,11.98   ,93.92             ,-2.44  ,+9.16                  ,+10.45                     ,+27.82                 ,+49.12                  ,+290.77              ,0.00                 ,+335.26              ,+2.81     ,59.41        ,60.19    ,1.65                   ,46.61     ,8.08     ,56.25                   ,-5.71                        ,-4.21   ,+0.05  ,+31.87                 ,+0.08                 ,+6.34                  ,+92.14                   ,+147.53              ,+113.17              ,+85.39               ,+15.90            ,8               ,60.19     ,60.19   ,57.50       ,45.60   ,-45.20               ,2.96           ,-2.49    ,+0.09 ,+0.61                   ,+5.49                    ,+12.26                   ,+19.11                ,+248.45              ,0.00                 ,+172.52              ,+10.48            ,60.19      ,60.19     ,50.91    ,21.88  ,5.26         ,100.00           ,-2.30         ,1.42              ,--                   ,32.97                    ,4.80            ,15.38        ,17.12                ,4.16     ,54.05     ,42.22     ,31.34      ,51.72     ,36.50      ,67.82                ,65.46     ,15.27                   ,66.05,59.46               ,11.17                     ,32.48          ,39.45     ,24.81      ,52.40     ,44.10     ,34.45      ,64.86     ,68.11                ,30.28         ,79.36,4.03       ,24.65          ,34.58                     ,52.53     ,33.46      ,42.18     ,68.50                ,28.54                   ,86.86   ,45.60                  ,6.35           ,27.26                     ,4945.63   , 
AKAM  ,-4.04      ,60.62     ,4352818   ,35.44    ,10.99B    ,211            ,+1.01                     ,26.46     ,63.33     ,-0.57,-98.72      ,1.85                   ,-23.45            ,16.42                  ,63.66                  ,Internet Software & Services                  ,NGM/NGS ,AKAMAI TECHNOLOGIES INC  ,Internet Software & Services              ,--      ,63.44         ,60.59 ,100     ,1638650      ,2035267     ,265.63                  ,213.87                 ,Yes       ,63.17 ,64.07 ,60.64 ,92.77                 ,1514791       ,1896310    ,287.35                   ,229.54                ,No                ,Information Technology,--            ,63.44     ,60.56 ,500     ,1512187     ,210.45                    ,287.85                 ,103.79M        ,No                  ,C  ,****     ,B+                 ,50.00          ,8.33                  ,33.33           ,8.33                   ,--              ,24                ,2.00              ,316.13M   ,2.34B  ,316.13M ,173.19M           ,1.79    ,1.79      ,1.78      ,2.79        ,1.84      ,1.61      ,1.12      ,13.77                       ,13.51   ,360.56            ,-2.82  ,-2.20                  ,-0.34                      ,-0.47                  ,-3.72                   ,-12.37               ,+73.76               ,+14.69               ,+0.83     ,63.70        ,65.65    ,7.57                   ,62.51     ,47.80    ,98.15                   ,5.10                         ,-4.45   ,-0.27  ,-6.65                  ,-0.05                 ,-0.30                  ,-0.73                    ,-4.86                ,+6.80                ,-6.15                ,+9.96             ,49              ,64.42     ,71.64   ,63.08       ,62.31   ,-12.76               ,3.45           ,-2.55    ,-0.43 ,+0.63                   ,-0.22                    ,-0.47                    ,-2.45                 ,+16.03               ,+82.95               ,+14.03               ,+7.39             ,65.65      ,71.64     ,62.51    ,61.54  ,3.52         ,19.00            ,-0.07         ,1.52              ,--                   ,35.44                    ,5.96            ,19.85        ,22.77                ,4.70     ,63.42     ,64.98     ,65.06      ,63.53     ,64.01      ,45.36                ,44.59     ,34.44                   ,1.28 ,65.50               ,0.06                      ,-6.94          ,65.78     ,60.50      ,63.71     ,64.43     ,63.57      ,39.29     ,48.87                ,37.88         ,18.15,-0.42      ,-8.08          ,-3.24                     ,63.66     ,66.02      ,64.51     ,46.23                ,15.51                   ,21.57   ,61.81                  ,-3.17          ,-5.15                     ,-5757.40  , 
SFM   ,-3.39      ,22.80     ,1916801   ,28.34    ,3.21B     ,77             ,+2.93                     ,69.63     ,21.66     ,1.16 ,-14.72      ,--                     ,18.67             ,39.61                  ,20.47                  ,Food & Staples Retailing                      ,NASDAQ  ,SPROUTS FARMERS MARKET   ,Food Retail                               ,--      ,23.52         ,22.80 ,1200    ,3685967      ,2935765     ,52.00                   ,65.29                  ,No        ,23.60 ,23.67 ,22.81 ,93.94                 ,4697659       ,3506008    ,40.80                    ,54.67                 ,Yes               ,Consumer Staples      ,--            ,23.52     ,22.80 ,1000    ,4574899     ,48.19                     ,41.90                  ,84.28M         ,No                  ,F  ,***      ,--                 ,36.36          ,18.18                 ,45.45           ,--                     ,--              ,22                ,2.09              ,124.31M   ,4.05B  ,124.31M ,136.54M           ,0.83    ,0.83      ,0.83      ,0.88        ,0.70      ,0.37      ,0.16      ,12.49                       ,3.07    ,168.60            ,-0.72  ,+4.16                  ,+14.92                     ,+3.25                  ,+20.72                  ,-31.89               ,0.00                 ,-25.44               ,+0.56     ,23.60        ,23.60    ,5.70                   ,17.38     ,17.38    ,100.00                  ,-6.42                        ,-3.06   ,+0.08  ,+3.70                  ,0.00                  ,+3.44                  ,+16.04                   ,+24.31               ,-37.17               ,-7.75                ,+16.62            ,4               ,23.60     ,23.60   ,22.70       ,17.38   ,-5.42                ,0.87           ,-0.80    ,+0.34 ,+0.67                   ,+3.05                    ,+17.11                   ,+4.04                 ,-22.14               ,0.00                 ,-18.06               ,+8.67             ,23.60      ,29.37     ,22.25    ,17.38  ,0.87         ,87.00            ,0.00          ,1.22              ,--                   ,28.34                    ,30.77           ,55.34        ,26.63                ,0.79     ,22.61     ,19.52     ,20.27      ,21.21     ,20.26      ,83.78                ,57.90     ,8.93                    ,85.28,24.99               ,5.06                      ,3.32           ,19.54     ,21.01      ,21.34     ,20.20     ,20.42      ,62.97     ,60.56                ,59.02         ,90.73,0.88       ,4.33           ,4.60                      ,20.47     ,19.99      ,20.14     ,67.56                ,34.66                   ,88.90   ,15.94                  ,4.39           ,4.85                      ,14708.72  , 
SWIR  ,-3.31      ,26.25     ,536278    ,56.77    ,875.97M   ,29             ,-1.55                     ,37.18     ,27.80     ,0.66 ,-93.35      ,--                     ,-4.67             ,36.98                  ,28.14                  ,Communications Equipment                      ,NCM     ,SIERRA WIRELESS INC      ,Communications Equipment                  ,--      ,27.25         ,26.25 ,700     ,667721       ,346240      ,80.31                   ,154.89                 ,No        ,27.15 ,27.30 ,26.30 ,26.99                 ,478837        ,506780     ,112.00                   ,105.82                ,No                ,Information Technology,--            ,27.25     ,26.25 ,3900    ,507114      ,196.93                    ,105.75                 ,19.11M         ,No                  ,NC ,--       ,B                  ,16.67          ,16.67                 ,50.00           ,--                     ,16.67           ,12                ,2.83              ,15.38M    ,615.61M,15.38M  ,32.15M            ,0.48    ,0.48      ,-0.08     ,0.83        ,-0.53     ,1.79      ,0.88      ,19.17                       ,2.50    ,529.78            ,-1.00  ,-2.65                  ,-3.16                      ,+8.75                  ,+18.82                  ,-14.66               ,+326.11              ,+42.89               ,+2.20     ,27.81        ,30.60    ,3.30                   ,25.94     ,12.30    ,100.00                  ,6.54                         ,-3.67   ,-0.10  ,+10.35                 ,-0.13                 ,-1.06                  ,+47.31                   ,+73.57               ,+31.42               ,+84.04               ,+4.27             ,5               ,30.60     ,30.60   ,27.25       ,25.94   ,-13.95               ,1.05           ,-0.90    ,-0.37 ,-0.43                   ,-0.89                    ,-3.76                    ,+4.32                 ,+120.16              ,+178.35              ,+101.50              ,+2.74             ,30.60      ,30.60     ,25.94    ,15.65  ,1.05         ,100.00           ,0.00          ,2.44              ,--                   ,56.77                    ,6.60            ,--           ,32.87                ,1.42     ,28.10     ,24.46     ,19.04      ,27.59     ,21.87      ,44.55                ,59.86     ,30.28                   ,6.65 ,29.82               ,-1.75                     ,10.45          ,23.11     ,17.67      ,27.97     ,25.00     ,21.11      ,56.68     ,62.65                ,10.98         ,22.75,1.16       ,8.40           ,11.55                     ,28.14     ,20.15      ,24.20     ,60.65                ,24.29                   ,34.98   ,26.46                  ,-2.85          ,9.70                      ,-310.13   , 
BIVV  ,-2.47      ,52.18     ,757922    ,13.08    ,5.75B     ,98             ,+2.84                     ,--        ,--        ,--   ,-30.34      ,16.98                  ,0.38              ,--                     ,51.46                  ,Biotechnology                                 ,NASDAQ  ,BIOVERATIV INC           ,Biotechnology                             ,--      ,53.22         ,52.15 ,100     ,1062112      ,3474756     ,71.36                   ,21.81                  ,No        ,53.50 ,53.94 ,52.18 ,14.68                 ,1635625       ,3474756    ,46.34                    ,21.81                 ,Yes               ,Health Care           ,--            ,53.22     ,51.82 ,200     ,1685464     ,61.80                     ,44.97                  ,54.71M         ,No                  ,D  ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,439.60M   ,887.40M,439.60M ,107.98M           ,4.07    ,4.07      ,1.01      ,2.59        ,-3.34     ,--        ,--        ,--                          ,49.54   ,2535.43           ,-1.04  ,-0.16                  ,+3.42                      ,+4.19                  ,+8.54                   ,0.00                 ,0.00                 ,0.00                 ,0.00      ,53.40        ,54.20    ,0.26                   ,48.14     ,40.00    ,83.02                   ,-2.04                        ,-1.95   ,+0.28  ,+7.39                  ,+0.03                 ,+1.61                  ,+8.54                    ,0.00                 ,0.00                 ,0.00                 ,+92.46            ,10              ,53.40     ,54.20   ,51.61       ,48.14   ,-11.82               ,1.76           ,-1.32    ,+0.53 ,+1.47                   ,+1.76                    ,+3.13                    ,+4.19                 ,0.00                 ,0.00                 ,0.00                 ,+72.81            ,54.20      ,54.20     ,49.32    ,41.88  ,2.12         ,--               ,-0.36         ,0.56              ,--                   ,13.08                    ,11.17           ,--           ,20.54                ,6.48     ,50.80     ,--        ,--         ,--        ,--         ,50.00                ,--        ,--                      ,69.66,54.08               ,-0.19                     ,--             ,--        ,--         ,51.12     ,--        ,--         ,--        ,--                   ,--            ,77.02,--         ,--             ,--                        ,51.46     ,--         ,--        ,50.00                ,--                      ,65.87   ,48.84                  ,-0.63          ,--                        ,88.31     , 
FMCC  ,-2.38      ,2.465     ,1989658   ,84.69    ,1.65B     ,12             ,+1.64                     ,33.81     ,2.61      ,-0.18,-90.00      ,19.23                  ,-10.75            ,37.79                  ,2.60                   ,Thrifts & Mortgage Finance                    ,OTC     ,FEDERAL HOME LOAN MORTG C,Thrifts & Mortgage Finance                ,--      ,2.54          ,2.46  ,1700    ,1863822      ,4058482     ,106.75                  ,49.02                  ,No        ,2.525 ,2.57  ,2.47  ,0.03                  ,1969353       ,3339126    ,101.03                   ,59.59                 ,No                ,Financials            ,--            ,2.54      ,2.44  ,16700   ,2080408     ,214.39                    ,95.64                  ,4.66M          ,No                  ,NC ,--       ,C                  ,--             ,--                    ,--              ,100.00                 ,--              ,1                 ,4.00              ,7.82B     ,15.09B ,7.82B   ,650.05M           ,0.03    ,0.03      ,-0.01     ,2.00        ,-0.72     ,-1.09     ,-0.64     ,6.00                        ,49.17   ,2656.80           ,-0.075 ,-0.365                 ,-2.32                      ,-0.3705                ,-24.04                  ,+3.29                ,+699.68              ,+40.57               ,+3.74     ,2.58         ,2.94     ,2.27                   ,2.42      ,1.21     ,80.77                   ,5.08                         ,-2.95   ,-0.015 ,-1.275                 ,-0.02                 ,-0.0868                ,-12.73                   ,-32.09               ,-29.57               ,-36.14               ,-9.48             ,2               ,2.60      ,4.26    ,2.50        ,2.42    ,-1.23                ,0.105          ,-0.06    ,-0.59 ,+0.041                  ,-0.0603                  ,-3.31                    ,-0.8037               ,+77.07               ,+217.01              ,+63.37               ,+0.39             ,2.87       ,4.84      ,2.42     ,2.29   ,0.13         ,1.00             ,-0.025        ,3.64              ,--                   ,84.69                    ,--              ,36211.27     ,1.27                 ,0.11     ,2.58      ,3.22      ,3.05       ,2.67      ,2.99       ,38.16                ,44.06     ,33.47                   ,10.00,2.79                ,-0.22                     ,-1.41          ,3.32      ,2.52       ,2.59      ,2.98      ,2.93       ,39.38     ,44.81                ,37.02         ,19.63,-0.21      ,-1.58          ,-1.20                     ,2.60      ,3.32       ,3.02      ,40.51                ,15.39                   ,19.63   ,2.42                   ,-0.22          ,-1.44                     ,-2920.12  , 
CNNEF ,-2.34      ,2.911     ,107065    ,21.52    ,524.56M   ,8              ,+3.00                     ,53.41     ,2.87      ,-0.01,-42.57      ,23.10                  ,-19.92            ,15.17                  ,2.85                   ,Oil Gas & Consumable Fuels                    ,OTC     ,CANACOL ENERGY LTD       ,Oil & Gas Exploration & Production        ,--      ,3.01          ,2.90  ,6300    ,62673        ,45090       ,170.83                  ,237.45                 ,No        ,2.9809,2.9809,2.93  ,7.78                  ,81933         ,56096      ,130.67                   ,190.86                ,No                ,Energy                ,--            ,3.01      ,2.89  ,6800    ,76410       ,142.81                    ,140.12                 ,183.00K        ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,23.42M    ,147.98M,23.42M  ,174.36M           ,0.14    ,0.14      ,-1.39     ,0.33        ,0.11      ,-1.71     ,0.32      ,--                          ,15.98   ,530.41            ,-0.099 ,+0.001                 ,+5.78                      ,-0.1589                ,+0.62                   ,+14.40               ,-69.92               ,0.00                 ,+0.72     ,3.06         ,3.06     ,0.6691                 ,2.71      ,2.45     ,76.90                   ,-2.41                        ,-3.29   ,-0.0291,-0.489                 ,+0.06                 ,+0.1586                ,-5.02                    ,-11.39               ,-53.46               ,-13.69               ,+6.90             ,0               ,3.06      ,3.43    ,2.99        ,2.71    ,-0.44                ,0.0699         ,-0.0699  ,-0.97 ,+0.0878                 ,+0.1645                  ,+5.56                    ,+0.0187               ,+13.36               ,-6.62                ,-8.95                ,+3.22             ,3.06       ,3.65      ,2.75     ,2.71   ,0.0909       ,11.00            ,-0.021        ,0.92              ,--                   ,21.52                    ,1.40            ,68.30        ,9.01                 ,3.55     ,2.85      ,2.92      ,3.16       ,2.87      ,3.04       ,63.69                ,47.56     ,29.31                   ,57.43,3.00                ,0.11                      ,-0.39          ,2.98      ,3.20       ,2.84      ,2.95      ,3.06       ,48.07     ,49.34                ,10.06         ,81.05,-0.03      ,0.09           ,-0.39                     ,2.85      ,3.13       ,2.97      ,51.19                ,35.87                   ,81.61   ,2.69                   ,-0.02          ,0.19                      ,-285.43   , 
IIVI  ,-2.20      ,37.70     ,478946    ,35.36    ,2.41B     ,30             ,-0.16                     ,55.28     ,37.08     ,0.66 ,-29.07      ,16.67                  ,20.79             ,23.17                  ,36.07                  ,Electronic Equipment Instruments & Components ,NGM/NGS ,II-VI INC                ,Electronic Components                     ,--      ,38.60         ,37.70 ,900     ,1055579      ,523700      ,45.37                   ,91.45                  ,No        ,38.55 ,38.95 ,37.75 ,80.26                 ,881903        ,645737     ,54.31                    ,74.17                 ,No                ,Information Technology,--            ,38.60     ,37.45 ,600     ,853629      ,43.57                     ,56.11                  ,40.66M         ,Yes                 ,C  ,--       ,B                  ,66.67          ,33.33                 ,--              ,--                     ,--              ,3                 ,1.33              ,65.49M    ,827.22M,65.49M  ,62.56M            ,1.09    ,1.04      ,1.05      ,1.29        ,0.60      ,0.79      ,0.93      ,20.00                       ,7.92    ,92.66             ,-0.90  ,+1.60                  ,+7.02                      ,+7.38                  ,+9.48                   ,+107.65              ,+60.61               ,+74.68               ,+0.16     ,39.60        ,39.79    ,2.15                   ,32.60     ,17.76    ,83.33                   ,-3.89                        ,-2.33   ,-0.05  ,+7.75                  ,+0.02                 ,+2.64                  ,+23.65                   ,+30.19               ,+150.99              ,+17.88               ,+8.84             ,5               ,39.79     ,41.10   ,37.85       ,32.60   ,-19.69               ,1.25           ,-0.85    ,-0.13 ,-0.06                   ,+2.53                    ,+7.33                    ,+3.34                 ,+82.25               ,+127.68              ,+68.00               ,+5.95             ,39.79      ,41.10     ,35.70    ,29.10  ,1.50         ,96.00            ,-0.25         ,1.52              ,--                   ,37.12                    ,5.64            ,27.60        ,29.92                ,2.92     ,37.33     ,36.51     ,32.06      ,36.84     ,33.22      ,61.73                ,57.45     ,18.71                   ,70.93,39.66               ,2.20                      ,8.20           ,35.39     ,27.66      ,36.23     ,35.65     ,32.33      ,56.20     ,59.20                ,19.64         ,83.91,0.28       ,1.35           ,8.95                      ,36.07     ,33.21      ,35.17     ,58.75                ,27.85                   ,90.97   ,32.47                  ,2.16           ,2.10                      ,3138.13   , 
LULU  ,-2.19      ,50.85     ,40255201  ,32.02    ,8.44B     ,176            ,+7.41                     ,18.86     ,62.63     ,-1.48,-99.23      ,5.53                   ,-34.73            ,23.08                  ,63.63                  ,Textiles Apparel & Luxury Goods               ,NASDAQ  ,LULULEMON ATHLETICA INC  ,Apparel Accessories & Luxury Goods        ,--      ,66.30         ,50.84 ,200     ,3584023      ,2052741     ,1123.18                 ,1961.05                ,No        ,51.99 ,52.90 ,50.85 ,79.43                 ,2104210       ,1660811    ,1913.08                  ,2423.83               ,No                ,Consumer Discretionary,--            ,66.30     ,50.73 ,200     ,2005704     ,426.84                    ,2007.04                ,233.16M        ,No                  ,NR ,*****    ,B+                 ,38.89          ,11.11                 ,44.44           ,--                     ,5.56            ,36                ,2.22              ,266.05M   ,2.06B  ,266.05M ,127.3M            ,2.07    ,1.89      ,1.66      ,2.15        ,1.91      ,1.85      ,1.27      ,16.51                       ,12.91   ,187.32            ,-15.45 ,-15.24                 ,+4.19                      ,+3.33                  ,-0.02                   ,+0.62                ,-16.06               ,+0.35                ,+0.16     ,66.34        ,66.97    ,28.91                  ,61.68     ,54.00    ,94.47                   ,23.97                        ,-23.30  ,-14.31 ,-15.09                 ,-0.19                 ,+1.80                  ,+5.28                    ,+2.02                ,+29.14               ,+14.51               ,+25.14            ,66              ,66.34     ,70.50   ,64.01       ,61.68   ,3.27                 ,2.05           ,-1.14    ,-21.58,+4.57                   ,+2.67                    ,+2.79                    ,-0.01                 ,+4.60                ,+2.15                ,-14.70               ,+20.33            ,66.97      ,81.81     ,62.49    ,61.68  ,2.17         ,30.00            ,-0.12         ,1.38              ,--                   ,35.08                    ,9.08            ,--           ,30.77                ,4.10     ,62.53     ,65.50     ,62.91      ,63.18     ,64.78      ,64.53                ,36.71     ,48.89                   ,0.77 ,69.82               ,0.91                      ,-15.99         ,66.05     ,66.84      ,63.04     ,64.50     ,64.84      ,30.51     ,51.62                ,55.04         ,48.92,-0.83      ,-15.55         ,1.32                      ,63.63     ,64.10      ,64.61     ,52.92                ,14.18                   ,53.80   ,57.44                  ,-15.68         ,-1.21                     ,-25077.27 , 
MDXG  ,-2.17      ,9.46      ,276360    ,87.91    ,1.05B     ,21             ,+2.39                     ,69.17     ,9.05      ,0.31 ,-26.53      ,1.89                   ,36.39             ,32.90                  ,8.80                   ,Biotechnology                                 ,NASDAQ  ,MIMEDX GROUP INC         ,Biotechnology                             ,--      ,9.67          ,9.46  ,900     ,721179       ,757120      ,38.32                   ,36.50                  ,No        ,9.67  ,9.72  ,9.47  ,54.01                 ,892071        ,784196     ,30.98                    ,35.24                 ,No                ,Health Care           ,--            ,9.67      ,9.455 ,200     ,907495      ,37.33                     ,30.45                  ,6.77M          ,Yes                 ,D  ,--       ,--                 ,57.14          ,14.29                 ,14.29           ,--                     ,14.29           ,7                 ,2.00              ,11.97M    ,245.02M,11.97M  ,108.84M           ,0.11    ,0.11      ,0.26      ,0.31        ,0.05      ,-0.04     ,-0.09     ,15.00                       ,4.89    ,355.09            ,-0.21  ,+0.75                  ,+9.85                      ,+0.9592                ,+15.01                  ,-18.09               ,+664.71              ,+8.89                ,+0.94     ,9.85         ,9.85     ,0.30                   ,7.94      ,6.64     ,98.11                   ,-5.21                        ,-2.17   ,0.00   ,+0.61                  ,+0.06                 ,+0.9445                ,+11.01                   ,+9.14                ,+47.97               ,-9.60                ,+9.94             ,4               ,9.85      ,9.85    ,9.52        ,7.94    ,-2.815               ,0.26           ,-0.21    ,0.00  ,+0.226                  ,+0.867                   ,+10.83                   ,+1.2622               ,+10.30               ,+74.33               ,+18.37               ,+7.28             ,9.85       ,10.02     ,8.74     ,7.64   ,0.265        ,52.00            ,-0.005        ,3.78              ,--                   ,87.91                    ,11.46           ,0.02         ,30.86                ,4.30     ,9.16      ,8.39      ,8.71       ,8.93      ,8.58       ,80.71                ,55.93     ,8.86                    ,73.47,9.69                ,1.23                      ,0.70           ,8.42      ,8.39       ,8.97      ,8.66      ,8.56       ,59.81     ,57.54                ,57.20         ,87.07,0.22       ,1.56           ,0.81                      ,8.80      ,8.74       ,8.64      ,62.85                ,32.55                   ,93.21   ,7.92                   ,1.11           ,1.59                      ,4239.77   , 
