Symbol,% Chg(Open),% Total Return (YTD3),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                   ,Exchange ,Description              ,Sub-Industry                              ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size  ,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin  ,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap    ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
KATY  ,-52.38     ,-82.14               ,0.10      ,28500     ,--       ,1.99M     ,2              ,-10.71                    ,36.36     ,0.20      ,-0.05,-100.00     ,--                     ,-35.42            ,5.23                   ,0.22                   ,Household Products                         ,OTC      ,KATY INDUSTRIES INC      ,Household Products                        ,--      ,0.25          ,0.06  ,7000    ,908          ,3780        ,3138.77                 ,753.97                 ,No        ,0.21  ,0.21  ,0.10  ,30.10                 ,7346          ,7288       ,387.97                   ,391.05                ,No                ,Consumer Staples          ,--            ,0.15      ,0.10  ,13000     ,6978        ,89062.50                  ,408.43                 ,--             ,No                  ,NC ,--       ,C                  ,--             ,100.00                ,--              ,--                     ,--              ,1                 ,2.00              ,-7.96M    ,113.96M,-7.96M  ,7.95M             ,-1.54   ,-1.00     ,0.09      ,--          ,-0.19     ,-1.90     ,0.60      ,--                          ,-6.98     ,378.59            ,-0.05  ,-0.08                  ,-32.13                     ,-0.6968                ,-38.73                  ,-86.49               ,-44.44               ,-86.67               ,+2.44     ,0.15         ,0.31     ,2.13                   ,0.15      ,0.16     ,100.00                  ,105.33                       ,-33.33  ,+0.06  ,-0.34                  ,-0.44                 ,-0.0745                ,-82.29                   ,-44.38               ,-66.10               ,+10.40            ,0               ,0.25      ,0.44    ,0.15        ,0.15    ,0.06                 ,0.11           ,-0.11    ,+40.00,-0.018                  ,-0.071                   ,-33.20                   ,-0.0948               ,-88.64               ,-72.22               ,-71.43               ,-15.84            ,0.31       ,2.34      ,0.15     ,0.15   ,0.11         ,--               ,0.00          ,-0.01             ,--                   ,--                       ,--              ,-262.22      ,--                   ,0.02     ,0.19      ,0.33      ,0.72       ,0.22      ,0.64       ,40.74                ,45.26     ,38.31                   ,--   ,0.32                ,-0.07                     ,-0.25          ,0.36      ,1.42       ,0.21      ,0.35      ,0.75       ,43.89     ,45.66                ,2.63          ,23.08,-0.05      ,-0.50          ,-0.45                     ,0.22      ,0.60       ,0.40      ,44.78                ,40.38                   ,23.08   ,0.12                   ,-0.10          ,-0.35                     ,-20.50    , 
INCT  ,-41.65     ,0.00                 ,0.0989    ,3919444   ,--       ,--        ,24             ,+26.96                    ,38.79     ,0.15      ,-0.01,-88.74      ,19.25                  ,-14.60            ,12.26                  ,0.14                   ,--                                         ,OTC      ,                         ,--                                        ,--      ,--            ,0.091 ,50900   ,1744222      ,159488      ,224.71                  ,2457.52                ,No        ,0.1695,0.174 ,0.0989,--                    ,460223        ,237939     ,851.64                   ,1647.25               ,No                ,--                        ,--            ,0.18      ,0.081 ,24000     ,423348      ,108.25                    ,925.82                 ,283.00K        ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,--                ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--        ,--                ,-0.0811,-0.0511                ,+25.05                     ,-0.1043                ,+7.28                   ,0.00                 ,0.00                 ,0.00                 ,0.00      ,--           ,0.24     ,1.826                  ,0.09      ,--       ,80.75                   ,46.88                        ,-45.06  ,-0.0105,-0.8411                ,-0.34                 ,+0.0318                ,-36.69                   ,0.00                 ,0.00                 ,0.00              ,2               ,0.24      ,0.95    ,--          ,0.09    ,--                   ,0.0751         ,-0.0706  ,-5.83 ,+0.0382                 ,+0.0361                  ,+21.47                   ,+0.0122               ,0.00                 ,0.00                 ,0.00                 ,0.00              ,0.24       ,2.00      ,0.10     ,0.09   ,0.093        ,--               ,-0.0179       ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,0.15      ,0.16      ,0.28       ,0.15      ,44.67      ,57.41                ,44.53     ,15.76                   ,11.26,0.18                ,0.05                      ,-0.63          ,0.23      ,3.92       ,0.15      ,0.25      ,103.01     ,40.51     ,44.54                ,6.18          ,37.09,-0.02      ,-0.10          ,-0.51                     ,0.14      ,0.27       ,0.47      ,40.97                ,17.83                   ,45.20   ,0.11                   ,-0.07          ,-0.01                     ,-1890.73  , 
RCGR  ,-38.57     ,0.00                 ,0.43      ,10563     ,--       ,--        ,2              ,-21.74                    ,--        ,--        ,--   ,-88.98      ,--                     ,-41.44            ,--                     ,1.10                   ,--                                         ,OTC      ,                         ,--                                        ,--      ,--            ,0.31  ,1800    ,29497        ,8072        ,35.81                   ,130.86                 ,No        ,0.70  ,0.70  ,0.56  ,--                    ,8506          ,8072       ,124.18                   ,130.86                ,No                ,--                        ,--            ,0.36      ,0.43  ,4000      ,7827        ,29.80                     ,134.96                 ,16.00K         ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,--                ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--        ,--                ,+0.07  ,-0.57                  ,-67.30                     ,-0.8547                ,-70.36                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,--           ,1.60     ,2.30                   ,0.30      ,0.80     ,100.00                  ,121.55                       ,+19.44  ,+0.34  ,-0.37                  ,-0.62                 ,-0.8336                ,-70.36                   ,0.00                 ,0.00                 ,0.00              ,0               ,1.12      ,3.00    ,--          ,0.30    ,0.37                 ,0.27           ,-0.27    ,+94.44,-0.10                   ,-0.741                   ,-69.84                   ,-0.8547               ,0.00                 ,0.00                 ,0.00                 ,0.00              ,1.60       ,3.00      ,0.30     ,0.30   ,0.27         ,--               ,0.00          ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,0.76      ,--        ,--         ,--        ,--         ,50.00                ,--        ,--                      ,11.02,1.94                ,-1.20                     ,--             ,--        ,--         ,0.95      ,--        ,--         ,--        ,--                   ,--            ,8.12 ,--         ,--             ,--                        ,1.10      ,--         ,--        ,50.00                ,--                      ,9.82    ,0.27                   ,-1.13          ,--                        ,-68.70    , 
JTCMF ,-31.58     ,0.00                 ,0.013     ,11300     ,--       ,910.00K   ,1              ,+58.73                    ,49.57     ,0.01      ,--   ,-70.00      ,--                     ,-19.82            ,27.80                  ,0.01                   ,Oil Gas & Consumable Fuels                 ,OTC      ,JETCOM INC               ,Coal & Consumable Fuels                   ,--      ,0.02          ,--    ,--      ,5145         ,166624      ,219.63                  ,6.78                   ,No        ,0.019 ,0.019 ,--    ,--                    ,29841         ,44422      ,37.87                    ,25.44                 ,No                ,Energy                    ,--            ,0.02      ,0.013 ,--        ,37646       ,113.00                    ,30.02                  ,--             ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,-50.00K   ,--     ,-50.00K ,45.34M            ,--      ,--        ,--        ,--          ,-0.01     ,--        ,--        ,--                          ,--        ,--                ,-0.007 ,-0.007                 ,+46.52                     ,-0.0092                ,+54.72                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,0.02         ,0.02     ,1.981                  ,0.01      ,--       ,100.00                  ,4.10                         ,-35.00  ,-0.001 ,+0.003                 ,+0.30                 ,+0.0064                ,-31.61                   ,+100.00              ,-50.00               ,+53.15            ,0               ,0.02      ,0.02    ,0.02        ,0.01    ,--                   ,0.006          ,-0.006   ,-5.00 ,+0.0074                 ,+0.0064                  ,+46.67                   ,+0.0071               ,0.00                 ,0.00                 ,-66.67               ,-209.34           ,0.02       ,2.00      ,0.01     ,--     ,0.006        ,--               ,0.00          ,-1.54             ,--                   ,--                       ,--              ,--           ,--                   ,--       ,0.01      ,0.01      ,0.02       ,0.01      ,--         ,58.59                ,--        ,13.01                   ,30.00,0.02                ,0.01                      ,--             ,0.01      ,--         ,0.01      ,--        ,--         ,--        ,50.00                ,33.63         ,43.33,--         ,--             ,0.01                      ,0.01      ,0.01       ,--        ,50.00                ,26.19                   ,25.56   ,--                     ,-0.01          ,0.01                      ,-76.36    , 
ADAC  ,-31.49     ,-73.00               ,0.25      ,18946     ,--       ,480.00K   ,3              ,+14.65                    ,--        ,--        ,--   ,-100.00     ,--                     ,-2.58             ,--                     ,0.35                   ,--                                         ,OTC      ,ADAMA TECHNOLOGIES CORP  ,--                                        ,--      ,0.37          ,0.2062,2500    ,2647         ,25836       ,715.75                  ,73.33                  ,No        ,0.3649,0.365 ,0.265 ,--                    ,45570         ,28883      ,41.58                    ,65.60                 ,No                ,--                        ,--            ,0.36      ,0.25  ,2500      ,44935       ,1722.36                   ,42.16                  ,--             ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,1.32M             ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--        ,--                ,-0.11  ,-0.22                  ,+2.27                      ,+0.0426                ,+9.53                   ,-73.00               ,-98.46               ,+526.67              ,-3.73     ,0.36         ,0.67     ,1.885                  ,0.21      ,0.05     ,100.00                  ,34.93                        ,-30.56  ,+0.0049,0.00                   ,-0.31                 ,-0.0023                ,+13.41                   ,+46.00               ,+370.00              ,0.00              ,1               ,0.39      ,0.67    ,0.28        ,0.21    ,-0.20                ,0.115          ,-0.1149  ,+1.36 ,+0.046                  ,+0.008                   ,-0.63                    ,+0.0313               ,-76.00               ,-74.29               ,+276.00              ,0.00              ,0.67       ,2.25      ,0.25     ,0.02   ,0.115        ,--               ,0.00          ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,0.33      ,--        ,--         ,--        ,--         ,50.00                ,--        ,--                      ,--   ,0.50                ,0.01                      ,--             ,--        ,--         ,0.34      ,--        ,--         ,--        ,--                   ,--            ,22.41,--         ,0.02           ,--                        ,0.35      ,--         ,--        ,50.00                ,--                      ,23.75   ,0.20                   ,-0.25          ,0.18                      ,-10.37    , 
EOXLQ ,-27.34     ,-99.79               ,0.21      ,121132    ,--       ,2.78M     ,8              ,+1.45                     ,28.60     ,0.29      ,-0.02,-96.65      ,5.39                   ,-65.23            ,21.03                  ,0.30                   ,Oil Gas & Consumable Fuels                 ,OTC      ,EMERALD OIL INC          ,Oil & Gas Exploration & Production        ,--      ,0.29          ,0.20  ,2500    ,18780        ,78978       ,645.01                  ,153.37                 ,No        ,0.289 ,0.289 ,0.2399,0.04                  ,36399         ,76581      ,332.79                   ,158.18                ,No                ,Energy                    ,--            ,0.28      ,0.2055,8000      ,34478       ,610.61                    ,351.33                 ,5.00K          ,No                  ,NC ,--       ,--                 ,--             ,100.00                ,--              ,--                     ,--              ,1                 ,2.00              ,-52.14M   ,90.16M ,-52.14M ,9.58M             ,-70.33  ,-15.62    ,-15.06    ,-4.99       ,-98.11    ,-3.36     ,-15.71    ,15.00                       ,-57.84    ,2146.63           ,-0.07  ,-0.18                  ,-6.04                      ,+0.068                 ,-13.05                  ,-98.40               ,-99.93               ,+128.13              ,-0.13     ,0.31         ,0.39     ,1.401                  ,0.26      ,0.04     ,94.61                   ,35.87                        ,-25.00  ,+0.009 ,+0.07                  ,-0.36                 ,-0.0309                ,+32.09                   ,+71.60               ,+29.75               ,-197.72           ,0               ,0.33      ,0.72    ,0.28        ,0.26    ,-0.1655              ,0.079          ,-0.079   ,+3.21 ,+0.004                  ,-0.018                   ,-9.94                    ,-0.042                ,-78.27               ,-99.80               ,+421.84              ,-72.65            ,0.39       ,1.69      ,0.28     ,0.14   ,0.0835       ,--               ,-0.0045       ,--                ,--                   ,--                       ,0.01            ,69.89        ,--                   ,0.03     ,0.28      ,0.34      ,0.23       ,0.30      ,0.27       ,41.84                ,47.39     ,19.05                   ,3.35 ,0.37                ,-0.10                     ,--             ,0.31      ,0.18       ,0.29      ,0.30      ,0.28       ,44.05     ,50.20                ,8.04          ,13.65,-0.01      ,-0.21          ,0.05                      ,0.30      ,0.26       ,0.30      ,48.59                ,16.21                   ,19.84   ,0.23                   ,-0.15          ,-0.19                     ,-411.52   , 
GLLK  ,-27.27     ,-99.40               ,0.0008    ,98915145  ,0.08     ,600.00K   ,4              ,--                        ,--        ,--        ,--   ,-98.92      ,25.00                  ,-42.56            ,47.01                  ,0.01                   ,Metals & Mining                            ,OTC      ,GOLD LAKES CORP          ,Gold                                      ,--      ,--            ,0.0007,444400  ,249758258    ,26324855    ,39.60                   ,375.75                 ,No        ,0.0011,0.0011,0.0008,--                    ,140711724     ,62578688   ,70.30                    ,158.07                ,No                ,Materials                 ,--            ,--        ,0.0007,27667500  ,132900086   ,145.98                    ,74.43                  ,--             ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,-25.79M   ,--     ,-25.79M ,545.18M           ,0.01    ,-0.29     ,--        ,--          ,-0.03     ,-0.24     ,-0.15     ,--                          ,--        ,--                ,+0.0008,+0.0008                ,-100.00                    ,-0.013                 ,-100.00                 ,-97.75               ,-99.99               ,-99.59               ,-7.48     ,--           ,--       ,1.6489                 ,--        ,--       ,75.00                   ,-93.33                       ,--      ,+0.0011,-0.0092                ,--                    ,0.00                   ,-100.00                  ,-91.67               ,-97.62               ,-118.06           ,0               ,--        ,0.50    ,--          ,--      ,--                   ,0.0003         ,-0.0003  ,--    ,0.00                    ,-0.0095                  ,--                       ,-0.0022               ,-99.55               ,-99.93               ,-99.12               ,+4434.74          ,--         ,1.65      ,--       ,--     ,0.0004       ,--               ,-0.0001       ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,--        ,--        ,0.01       ,--        ,0.03       ,50.00                ,--        ,55.03                   ,1.08 ,0.01                ,--                        ,-0.02          ,--        ,0.14       ,--        ,--        ,0.04       ,--        ,50.00                ,77.63         ,33.69,--         ,-0.04          ,--                        ,0.01      ,0.01       ,0.01      ,50.00                ,6.93                    ,44.56   ,0.01                   ,--             ,--                        ,-49457.57 , 
PNPL  ,-26.67     ,0.00                 ,1.10      ,1440      ,--       ,--        ,1              ,-5.17                     ,44.59     ,1.33      ,-0.16,-84.51      ,--                     ,-30.90            ,14.18                  ,1.42                   ,--                                         ,OTC      ,                         ,--                                        ,--      ,--            ,--    ,100     ,1573         ,32539575    ,91.54                   ,--                     ,No        ,1.50  ,1.50  ,11.00 ,--                    ,1596          ,1731       ,90.23                    ,83.19                 ,No                ,--                        ,--            ,1.10      ,1.10  ,--        ,1507        ,180.00                    ,95.55                  ,1.00K          ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,--                ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--        ,--                ,0.00   ,-0.40                  ,-22.56                     ,-1.2602                ,-33.93                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,--           ,2.00     ,40.88                  ,0.99      ,1.00     ,100.00                  ,20.97                        ,0.00    ,+0.40  ,-1.40                  ,-0.26                 ,-0.3832                ,-53.39                   ,0.00                 ,0.00                 ,0.00              ,0               ,1.50      ,3.00    ,--          ,0.99    ,-0.10                ,0.40           ,-0.40    ,+36.36,-0.06                   ,-0.3205                  ,-25.84                   ,-0.5649               ,0.00                 ,0.00                 ,0.00                 ,0.00              ,1.75       ,42.38     ,0.99     ,0.99   ,0.40         ,--               ,0.00          ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,1.27      ,1.74      ,2.30       ,1.39      ,2.26       ,44.59                ,45.03     ,46.72                   ,15.49,1.98                ,-0.90                     ,-1.65          ,1.89      ,3.46       ,1.33      ,1.74      ,2.45       ,44.40     ,45.03                ,8.80          ,34.27,-0.16      ,-0.65          ,-1.90                     ,1.42      ,2.37       ,1.85      ,44.40                ,39.16                   ,30.90   ,0.86                   ,-0.47          ,-1.40                     ,-8.64     , 
BHGI  ,-24.53     ,0.00                 ,2.00      ,704       ,--       ,--        ,3              ,+1.16                     ,42.84     ,2.44      ,0.06 ,-75.76      ,9.01                   ,67.84             ,18.19                  ,2.32                   ,--                                         ,OTC      ,                         ,--                                        ,--      ,--            ,1.72  ,200     ,839          ,808         ,83.91                   ,87.13                  ,No        ,2.65  ,2.65  ,2.60  ,--                    ,979           ,799        ,71.91                    ,88.11                 ,No                ,--                        ,--            ,2.61      ,1.9356,200       ,972         ,23.94                     ,72.43                  ,1.00K          ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,--                ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--        ,--                ,-0.61  ,+0.01                  ,+12.31                     ,-0.8455                ,+9.66                   ,0.00                 ,0.00                 ,0.00                 ,0.00      ,--           ,3.00     ,17.35                  ,1.68      ,0.46     ,90.99                   ,16.60                        ,-23.37  ,+0.04  ,-0.78                  ,-0.33                 ,+0.2359                ,-24.47                   ,0.00                 ,0.00                 ,0.00              ,0               ,3.00      ,3.11    ,--          ,1.68    ,-1.4756              ,0.65           ,-0.65    ,+1.53 ,+0.03                   ,+0.286                   ,+9.94                    ,+0.23                 ,0.00                 ,0.00                 ,0.00                 ,0.00              ,3.00       ,20.00     ,2.29     ,1.68   ,0.7144       ,--               ,-0.0644       ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,2.48      ,2.24      ,3.22       ,2.41      ,3.64       ,52.82                ,47.75     ,40.19                   ,24.24,3.04                ,0.11                      ,-0.40          ,2.33      ,4.25       ,2.33      ,2.48      ,5.02       ,47.40     ,48.60                ,33.23         ,64.90,0.04       ,0.09           ,-0.37                     ,2.32      ,2.95       ,2.56      ,50.20                ,20.14                   ,79.04   ,1.60                   ,-0.75          ,-0.19                     ,8.83      , 
GMGI  ,-23.08     ,0.00                 ,0.001     ,8831161   ,--       ,--        ,3              ,--                        ,--        ,--        ,--   ,-100.00     ,50.00                  ,--                ,--                     ,--                     ,--                                         ,OTC      ,                         ,--                                        ,--      ,--            ,0.0008,189000  ,3866053      ,2326585     ,228.43                  ,379.58                 ,No        ,0.0013,0.0013,0.001 ,--                    ,65535         ,2326585    ,13475.49                 ,379.58                ,No                ,--                        ,--            ,--        ,0.0007,610000    ,2326585     ,1515.19                   ,379.58                 ,--             ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,--                ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--        ,--                ,+0.001 ,+0.001                 ,--                         ,0.00                   ,--                      ,0.00                 ,0.00                 ,0.00                 ,0.00      ,--           ,--       ,67.5087                ,--        ,--       ,50.00                   ,-93.33                       ,--      ,+0.0013,+0.001                 ,--                    ,0.00                   ,--                       ,0.00                 ,0.00                 ,0.00              ,0               ,--        ,--      ,--          ,--      ,--                   ,0.0003         ,-0.0003  ,--    ,0.00                    ,0.00                     ,--                       ,0.00                  ,0.00                 ,0.00                 ,0.00                 ,0.00              ,--         ,67.51     ,--       ,--     ,0.0006       ,--               ,-0.0003       ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,--        ,--        ,--         ,--        ,--         ,50.00                ,--        ,--                      ,--   ,--                  ,--                        ,--             ,--        ,--         ,--        ,--        ,--         ,--        ,--                   ,--            ,--   ,--         ,--             ,--                        ,--        ,--         ,--        ,--                   ,--                      ,--      ,--                     ,--             ,--                        ,--        , 
MLFB  ,-22.90     ,-19.10               ,0.0771    ,43404     ,--       ,4.23M     ,1              ,-7.19                     ,45.09     ,0.08      ,-0.01,-82.25      ,0.43                   ,-42.26            ,11.05                  ,0.08                   ,Media                                      ,OTC      ,MAJOR LEAGUE FOOTBALL INC,Movies & Entertainment                    ,--      ,0.08          ,0.0771,24600   ,61831        ,75505       ,70.20                   ,57.48                  ,No        ,0.10  ,0.10  ,0.0849,--                    ,140069        ,119129     ,30.99                    ,36.43                 ,No                ,Consumer Discretionary    ,--            ,0.07      ,0.077 ,16000     ,140883      ,97.92                     ,30.81                  ,4.00K          ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,-6.63M    ,90.00K ,-6.63M  ,54.73M            ,-0.17   ,-0.19     ,-0.14     ,--          ,-0.12     ,-0.29     ,-1.91     ,--                          ,-7387.90  ,8.98              ,+0.0071,-0.0129                ,-15.00                     ,-0.0884                ,-31.27                  ,-78.18               ,-94.01               ,-70.40               ,-6.63     ,0.09         ,0.12     ,1.07                   ,0.07      ,0.07     ,99.57                   ,2.65                         ,+10.14  ,+0.03  ,-0.0429                ,+0.10                 ,-0.0164                ,-55.81                   ,-40.95               ,-36.71               ,+285.24           ,0               ,0.09      ,0.18    ,0.07        ,0.07    ,-0.007               ,0.0229         ,-0.0229  ,+42.86,-0.0054                 ,-0.0124                  ,-18.95                   ,-0.0319               ,-92.30               ,-94.61               ,-65.45               ,-1113.34          ,0.11       ,1.17      ,0.07     ,0.06   ,0.023        ,--               ,-0.0001       ,-0.02             ,--                   ,--                       ,--              ,--           ,--                   ,47.13    ,0.08      ,0.10      ,0.15       ,0.08      ,0.14       ,39.20                ,44.14     ,15.96                   ,17.75,0.10                ,-0.04                     ,-0.04          ,0.10      ,0.20       ,0.08      ,0.10      ,0.15       ,43.84     ,43.36                ,17.69         ,5.92 ,-0.01      ,-0.03          ,-0.05                     ,0.08      ,0.13       ,0.11      ,42.23                ,22.82                   ,10.31   ,0.06                   ,-0.03          ,--                        ,-843.60   , 
AFOM  ,-22.45     ,0.00                 ,0.095     ,332171    ,--       ,--        ,10             ,-2.91                     ,40.20     ,0.11      ,-0.02,-61.11      ,20.00                  ,-42.53            ,10.34                  ,0.11                   ,--                                         ,OTC      ,                         ,--                                        ,--      ,--            ,0.085 ,5000    ,31621        ,22582       ,1050.48                 ,1470.95                ,No        ,0.1225,0.135 ,0.105 ,--                    ,36377         ,54943      ,913.13                   ,604.57                ,No                ,--                        ,--            ,0.10      ,0.085 ,10000     ,35701       ,386.72                    ,930.42                 ,3.00K          ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,--                ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--        ,--                ,-0.005 ,-0.045                 ,-12.85                     ,-0.4358                ,-26.19                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,--           ,0.18     ,2.265                  ,0.06      ,0.08     ,80.00                   ,13.33                        ,-5.00   ,+0.0225,-0.005                 ,-0.05                 ,-0.0223                ,-81.34                   ,0.00                 ,0.00                 ,0.00              ,6               ,0.12      ,0.24    ,--          ,0.06    ,-0.005               ,0.04           ,-0.0275  ,+22.50,-0.003                  ,-0.0148                  ,-18.22                   ,-0.0355               ,0.00                 ,0.00                 ,0.00                 ,0.00              ,0.18       ,2.40      ,0.06     ,0.06   ,0.05         ,--               ,-0.01         ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,0.10      ,0.16      ,--         ,0.12      ,--         ,42.00                ,--        ,28.84                   ,38.89,0.15                ,-0.07                     ,-0.41          ,0.21      ,--         ,0.11      ,--        ,--         ,--        ,50.00                ,10.78         ,35.19,-0.02      ,-0.06          ,-0.38                     ,0.11      ,0.35       ,--        ,50.00                ,35.81                   ,35.80   ,0.08                   ,-0.08          ,--                        ,-292.76   , 
